"dist","p","n","alpha","is_covered","c_estimate"
"bivt",0.1,1000,"0.05",TRUE,0.025
"bivt",0.1,1000,"0.1",TRUE,0.022
"bivt",0.1,1000,"0.01",TRUE,0.03
"bivt",0.1,1000,"0.05",TRUE,0.026
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.03
"bivt",0.1,1000,"0.05",TRUE,0.026
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.02901
"bivt",0.1,1000,"0.05",TRUE,0.026
"bivt",0.1,1000,"0.1",TRUE,0.024
"bivt",0.1,1000,"0.01",TRUE,0.03
"bivt",0.1,1000,"0.05",FALSE,0.026
"bivt",0.1,1000,"0.1",FALSE,0.022
"bivt",0.1,1000,"0.01",TRUE,0.03001
"bivt",0.1,1000,"0.05",TRUE,0.025
"bivt",0.1,1000,"0.1",TRUE,0.022
"bivt",0.1,1000,"0.01",TRUE,0.03101
"bivt",0.1,1000,"0.05",TRUE,0.024
"bivt",0.1,1000,"0.1",TRUE,0.022
"bivt",0.1,1000,"0.01",TRUE,0.02901
"bivt",0.1,1000,"0.05",TRUE,0.026
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.031
"bivt",0.1,1000,"0.05",TRUE,0.026
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.031
"bivt",0.1,1000,"0.05",TRUE,0.025
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.03
"bivt",0.1,1000,"0.05",TRUE,0.025
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.03001
"bivt",0.1,1000,"0.05",TRUE,0.025
"bivt",0.1,1000,"0.1",TRUE,0.022
"bivt",0.1,1000,"0.01",TRUE,0.031
"bivt",0.1,1000,"0.05",TRUE,0.025
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.031
"bivt",0.1,1000,"0.05",TRUE,0.025
"bivt",0.1,1000,"0.1",TRUE,0.022
"bivt",0.1,1000,"0.01",TRUE,0.031
"bivt",0.1,1000,"0.05",TRUE,0.026
"bivt",0.1,1000,"0.1",TRUE,0.022
"bivt",0.1,1000,"0.01",TRUE,0.03101
"bivt",0.1,1000,"0.05",TRUE,0.02505
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.032
"bivt",0.1,1000,"0.05",TRUE,0.025
"bivt",0.1,1000,"0.1",TRUE,0.022
"bivt",0.1,1000,"0.01",TRUE,0.032
"bivt",0.1,1000,"0.05",TRUE,0.025
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.02901
"bivt",0.1,1000,"0.05",TRUE,0.026
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.03
"bivt",0.1,1000,"0.05",TRUE,0.026
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.031
"bivt",0.1,1000,"0.05",TRUE,0.025
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.03
"bivt",0.1,1000,"0.05",TRUE,0.02505
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.03
"bivt",0.1,1000,"0.05",TRUE,0.026
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.03201
"bivt",0.1,1000,"0.05",TRUE,0.025
"bivt",0.1,1000,"0.1",TRUE,0.022
"bivt",0.1,1000,"0.01",TRUE,0.03
"bivt",0.1,1000,"0.05",TRUE,0.026
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.031
"bivt",0.1,1000,"0.05",TRUE,0.026
"bivt",0.1,1000,"0.1",TRUE,0.023
"bivt",0.1,1000,"0.01",TRUE,0.03101
"bivt",0.1,1000,"0.05",TRUE,0.024
"bivt",0.1,1000,"0.1",TRUE,0.022
"bivt",0.1,1000,"0.01",TRUE,0.02901
"bivt",0.1,1000,"0.05",TRUE,0.025
