"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","xi_hat"
"bivt",0.005,1000,"0.05",FALSE,0.00520359097222076,-0.00296367177975126,0.22615054743529
"bivt",0.005,1000,"0.1",FALSE,0.00416176968061443,-0.00262909144529933,0.22615054743529
"bivt",0.005,1000,"0.01",FALSE,0.0066913445172667,-0.00329862215598727,0.22615054743529
"bivt",0.005,1000,"0.05",TRUE,0.00432072659793773,-0.00245854090782523,0.324458637735034
"bivt",0.005,1000,"0.1",FALSE,0.00347922521170023,-0.0022696442293789,0.324458637735034
"bivt",0.005,1000,"0.01",TRUE,0.00560279952860593,-0.00269178996686007,0.324458637735034
"bivt",0.005,1000,"0.05",FALSE,0.00448893376292362,-0.00246861988078648,0.258843601128672
"bivt",0.005,1000,"0.1",FALSE,0.00388344484109405,-0.00228433904739857,0.258843601128672
"bivt",0.005,1000,"0.01",FALSE,0.00584230531534456,-0.00283214240685691,0.258843601128672
"bivt",0.005,1000,"0.05",FALSE,0.00568352431405729,-0.00278227547064102,0.264487783028662
"bivt",0.005,1000,"0.1",FALSE,0.00476224612912155,-0.00254053219850256,0.264487783028662
"bivt",0.005,1000,"0.01",TRUE,0.00831307887322177,-0.00309088199862247,0.264487783028662
"bivt",0.005,1000,"0.05",TRUE,0.0060976732809593,-0.00303323679326612,0.274302313059316
"bivt",0.005,1000,"0.1",TRUE,0.00543499182134684,-0.00278277519943661,0.274302313059316
"bivt",0.005,1000,"0.01",TRUE,0.00889050272774592,-0.0034678965088411,0.274302313059316
"bivt",0.005,1000,"0.05",TRUE,0.00539345982466308,-0.00266711856777633,0.254023255302201
"bivt",0.005,1000,"0.1",FALSE,0.00440935145859995,-0.00251609283904681,0.254023255302201
"bivt",0.005,1000,"0.01",TRUE,0.0087269813237299,-0.00302642664102775,0.254023255302201
"bivt",0.005,1000,"0.05",FALSE,0.0052784607859915,-0.00301296424291649,0.249577799742574
"bivt",0.005,1000,"0.1",FALSE,0.00430769005360791,-0.00277036234974265,0.249577799742574
"bivt",0.005,1000,"0.01",FALSE,0.00779251480036899,-0.0033755255830812,0.249577799742574
"bivt",0.005,1000,"0.05",FALSE,0.00437400888802508,-0.00276492280904318,0.269769385285366
"bivt",0.005,1000,"0.1",FALSE,0.00399650017110576,-0.0024871554792431,0.269769385285366
"bivt",0.005,1000,"0.01",TRUE,0.00654149430501477,-0.00312506675158236,0.269769385285366
"bivt",0.005,1000,"0.05",TRUE,0.00729504759620838,-0.00290439034352561,0.254019111801915
"bivt",0.005,1000,"0.1",TRUE,0.00592942738110751,-0.00271147480246172,0.254019111801915
"bivt",0.005,1000,"0.01",TRUE,0.00960325563579823,-0.00321821012850417,0.254019111801915
"bivt",0.005,1000,"0.05",TRUE,0.00447272933986042,-0.00230187227225499,0.388209148202497
"bivt",0.005,1000,"0.1",TRUE,0.00398792372957648,-0.00214821184573254,0.388209148202497
"bivt",0.005,1000,"0.01",TRUE,0.00614562994986142,-0.00256249535607666,0.388209148202497
"bivt",0.005,1000,"0.05",TRUE,0.0107037955632576,-0.00295076117017434,0.245990500316758
"bivt",0.005,1000,"0.1",FALSE,0.00770820895219432,-0.00266468078174238,0.245990500316758
"bivt",0.005,1000,"0.01",TRUE,0.0128758152002947,-0.00319668469406555,0.245990500316758
"bivt",0.005,1000,"0.05",TRUE,0.0133249669634705,-0.00427916053823269,0.210531390515967
"bivt",0.005,1000,"0.1",TRUE,0.0086328392898186,-0.00409730813969037,0.210531390515967
"bivt",0.005,1000,"0.01",TRUE,0.0215194186645364,-0.00460307270323892,0.210531390515967
"bivt",0.005,1000,"0.05",TRUE,0.00859141339042472,-0.00319807443597527,0.278211899906565
"bivt",0.005,1000,"0.1",TRUE,0.00739034317252885,-0.00304116565491774,0.278211899906565
"bivt",0.005,1000,"0.01",TRUE,0.010782888755871,-0.00361241763175412,0.278211899906565
"bivt",0.005,1000,"0.05",TRUE,0.0106773786432201,-0.00407178479746236,0.189105447111423
"bivt",0.005,1000,"0.1",TRUE,0.00930981033414596,-0.00389680206758818,0.189105447111423
"bivt",0.005,1000,"0.01",TRUE,0.0172326798870413,-0.00463936770625915,0.189105447111423
"bivt",0.005,1000,"0.05",TRUE,0.00419581113257637,-0.00216052702905902,0.366039752543584
"bivt",0.005,1000,"0.1",TRUE,0.00338527188843131,-0.00201229010632595,0.366039752543584
"bivt",0.005,1000,"0.01",TRUE,0.00687668130986603,-0.00242271272480448,0.366039752543584
"bivt",0.005,1000,"0.05",TRUE,0.00546859147703189,-0.00238970858310243,0.304343410490058
"bivt",0.005,1000,"0.1",TRUE,0.00438894761392387,-0.00220013948578553,0.304343410490058
"bivt",0.005,1000,"0.01",TRUE,0.00609800025602792,-0.00277201311310584,0.304343410490058
"bivt",0.005,1000,"0.05",TRUE,0.00385409633083064,-0.00226539497805984,0.31202798293726
"bivt",0.005,1000,"0.1",TRUE,0.00306676410010701,-0.00203490452518248,0.31202798293726
"bivt",0.005,1000,"0.01",TRUE,0.00457641412405009,-0.00273362143705734,0.31202798293726
"bivt",0.005,1000,"0.05",TRUE,0.00756780304928005,-0.00286642340269326,0.269948138289016
"bivt",0.005,1000,"0.1",TRUE,0.00647612602414061,-0.00271152521844894,0.269948138289016
"bivt",0.005,1000,"0.01",TRUE,0.0120537292990773,-0.00321713754615343,0.269948138289016
"bivt",0.005,1000,"0.05",FALSE,0.0124594760940854,-0.00379022075936917,0.212194329189524
"bivt",0.005,1000,"0.1",FALSE,0.0104590009686488,-0.00365099297425627,0.212194329189524
"bivt",0.005,1000,"0.01",FALSE,0.0154190682235164,-0.00414562831271945,0.212194329189524
"bivt",0.005,1000,"0.05",FALSE,0.00576441295852612,-0.00254996307029153,0.29873677256591
"bivt",0.005,1000,"0.1",FALSE,0.004906964542864,-0.00245154837055709,0.29873677256591
"bivt",0.005,1000,"0.01",TRUE,0.00916478771680427,-0.00300454061759267,0.29873677256591
"bivt",0.005,1000,"0.05",TRUE,0.00636892329320563,-0.00276555390197429,0.259678693346619
"bivt",0.005,1000,"0.1",TRUE,0.00467795360084011,-0.00248437730412245,0.259678693346619
"bivt",0.005,1000,"0.01",TRUE,0.00859304281071433,-0.00312420191368336,0.259678693346619
"bivt",0.005,1000,"0.05",TRUE,0.00518956109532172,-0.00236073291855546,0.343108142003162
"bivt",0.005,1000,"0.1",TRUE,0.00459455133829353,-0.00220392814655184,0.343108142003162
"bivt",0.005,1000,"0.01",TRUE,0.00649055918524364,-0.0027504816471175,0.343108142003162
"bivt",0.005,1000,"0.05",TRUE,0.00733102129264015,-0.00327916835186654,0.225919419696467
"bivt",0.005,1000,"0.1",TRUE,0.00690858543416864,-0.00309976069126187,0.225919419696467
"bivt",0.005,1000,"0.01",TRUE,0.00965105671465848,-0.00352192196484164,0.225919419696467
"bivt",0.005,1000,"0.05",TRUE,0.00453325214469634,-0.00254281460216516,0.332819620659618
"bivt",0.005,1000,"0.1",TRUE,0.00372390185777428,-0.00231436797539198,0.332819620659618
"bivt",0.005,1000,"0.01",TRUE,0.00563402147966991,-0.00283426198558443,0.332819620659618
"bivt",0.005,1000,"0.05",FALSE,0.00720021730180408,-0.00329713798390647,0.19430820950942
"bivt",0.005,1000,"0.1",FALSE,0.00565622689412275,-0.00311703958035216,0.19430820950942
"bivt",0.005,1000,"0.01",FALSE,0.00972954226770661,-0.00365495233065291,0.19430820950942
"bivt",0.005,1000,"0.05",TRUE,0.00484613077006439,-0.00271137560527608,0.302531737975804
"bivt",0.005,1000,"0.1",TRUE,0.00438797681829358,-0.00248997108592828,0.302531737975804
"bivt",0.005,1000,"0.01",TRUE,0.00886125590336273,-0.00304746751865289,0.302531737975804
"bivt",0.005,1000,"0.05",TRUE,0.00522043980040328,-0.0027586717098472,0.308614490869918
"bivt",0.005,1000,"0.1",TRUE,0.00428760860608535,-0.00254794619661555,0.308614490869918
"bivt",0.005,1000,"0.01",TRUE,0.00660264065288163,-0.00303773878883063,0.308614490869918
"bivt",0.005,1000,"0.05",FALSE,0.0081628112839429,-0.00337442307203609,0.239505530538911
"bivt",0.005,1000,"0.1",FALSE,0.00714968256326994,-0.00311337039229962,0.239505530538911
"bivt",0.005,1000,"0.01",TRUE,0.0107048493866994,-0.00375817432362242,0.239505530538911
"bivt",0.005,1000,"0.05",TRUE,0.00395420439355657,-0.00304955360901868,0.287945650904955
"bivt",0.005,1000,"0.1",TRUE,0.00323745151560127,-0.00269524786403903,0.287945650904955
"bivt",0.005,1000,"0.01",TRUE,0.00509723668907221,-0.00331091060261481,0.287945650904955
"bivt",0.005,1000,"0.05",TRUE,0.00427034843470032,-0.00233892170906144,0.329115166302222
"bivt",0.005,1000,"0.1",TRUE,0.00390976845380881,-0.00212964859408974,0.329115166302222
"bivt",0.005,1000,"0.01",TRUE,0.00670161060871722,-0.00255925596286228,0.329115166302222
"bivt",0.005,1000,"0.05",TRUE,0.00460488182087141,-0.00266802842623655,0.282013127862037
"bivt",0.005,1000,"0.1",TRUE,0.00377309079756195,-0.00243230443920011,0.282013127862037
"bivt",0.005,1000,"0.01",TRUE,0.00676733837671269,-0.00314207867705598,0.282013127862037
"bivt",0.005,1000,"0.05",TRUE,0.00317499201234944,-0.00191286329264308,0.387711682545909
"bivt",0.005,1000,"0.1",TRUE,0.00289858038997916,-0.00183158618610797,0.387711682545909
"bivt",0.005,1000,"0.01",TRUE,0.0041911107099103,-0.00216764556730161,0.387711682545909
"bivt",0.005,1000,"0.05",TRUE,0.00348801393085203,-0.00256854019464476,0.325187898471785
"bivt",0.005,1000,"0.1",TRUE,0.00302364016182662,-0.00230986045109673,0.325187898471785
"bivt",0.005,1000,"0.01",TRUE,0.0048953505742253,-0.00279735151354231,0.325187898471785
"bivt",0.005,1000,"0.05",TRUE,0.00716390292746817,-0.00304086212278329,0.279049510101231
"bivt",0.005,1000,"0.1",TRUE,0.00682891507507523,-0.00297973018071044,0.279049510101231
"bivt",0.005,1000,"0.01",TRUE,0.00968376637256976,-0.0033773312305637,0.279049510101231
"bivt",0.005,1000,"0.05",FALSE,0.0100270702558792,-0.00325154794613766,0.264384434073949
"bivt",0.005,1000,"0.1",FALSE,0.0072026973463633,-0.00302845014243866,0.264384434073949
"bivt",0.005,1000,"0.01",TRUE,0.0125632612330465,-0.00364382326632875,0.264384434073949
"bivt",0.005,1000,"0.05",TRUE,0.00389180056995238,-0.00191210022527047,0.366739424722213
"bivt",0.005,1000,"0.1",TRUE,0.00312754069928213,-0.00172212272054365,0.366739424722213
"bivt",0.005,1000,"0.01",TRUE,0.00558687015461301,-0.00218559737319248,0.366739424722213
"bivt",0.005,1000,"0.05",TRUE,0.00470534902114099,-0.00276268756898771,0.258415627534862
"bivt",0.005,1000,"0.1",TRUE,0.00402547717616156,-0.00264017138172195,0.258415627534862
"bivt",0.005,1000,"0.01",TRUE,0.00688390522773216,-0.00309171120392949,0.258415627534862
"bivt",0.005,1000,"0.05",TRUE,0.0052783822799031,-0.00284557196077353,0.28016050488745
"bivt",0.005,1000,"0.1",FALSE,0.0043340280151038,-0.00260375932411849,0.28016050488745
"bivt",0.005,1000,"0.01",TRUE,0.00793022917190105,-0.00331792558182641,0.28016050488745
"bivt",0.005,1000,"0.05",FALSE,0.00336514086306793,-0.00220616735165995,0.281654588301263
"bivt",0.005,1000,"0.1",FALSE,0.0030092787000506,-0.00207619066889957,0.281654588301263
"bivt",0.005,1000,"0.01",FALSE,0.00546043187876909,-0.00246210213075386,0.281654588301263
"bivt",0.005,1000,"0.05",TRUE,0.0038770359051359,-0.00237907148271284,0.294847812427598
"bivt",0.005,1000,"0.1",TRUE,0.00330643448539543,-0.0022268154852028,0.294847812427598
