"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.0073557057393972,-0.00368138589116535,0.349606324066475
"bivt",0.005,1000,"0.1",TRUE,0.00640681347389517,-0.00330761780904688,0.349606324066475
"bivt",0.005,1000,"0.01",TRUE,0.00922693105753425,-0.00419013846695939,0.349606324066475
"bivt",0.005,1000,"0.05",TRUE,0.00670853367996715,-0.0035372388267289,0.287040784489332
"bivt",0.005,1000,"0.1",TRUE,0.00570089953515176,-0.00321342456104979,0.287040784489332
"bivt",0.005,1000,"0.01",TRUE,0.00825781984634675,-0.00404293068486806,0.287040784489332
"bivt",0.005,1000,"0.05",TRUE,0.00780250930679102,-0.00387943854677478,0.372432833108702
"bivt",0.005,1000,"0.1",TRUE,0.00670908345857892,-0.00356724749413176,0.372432833108702
"bivt",0.005,1000,"0.01",TRUE,0.0102445398990385,-0.00435489788428046,0.372432833108702
"bivt",0.005,1000,"0.05",TRUE,0.00626500844962452,-0.00364681248887558,0.377990635504664
"bivt",0.005,1000,"0.1",TRUE,0.00543767540874057,-0.00318496632898931,0.377990635504664
"bivt",0.005,1000,"0.01",TRUE,0.00781703600519608,-0.00418059990643277,0.377990635504664
"bivt",0.005,1000,"0.05",TRUE,0.00690884735269851,-0.00330281959574322,0.288712221265297
"bivt",0.005,1000,"0.1",TRUE,0.0059582723452928,-0.00297068743668952,0.288712221265297
"bivt",0.005,1000,"0.01",TRUE,0.00983067483736911,-0.00387372126746454,0.288712221265297
"bivt",0.005,1000,"0.05",TRUE,0.00562467835190853,-0.00332849025775093,0.380786113632142
"bivt",0.005,1000,"0.1",TRUE,0.00496813975187119,-0.00298122790575201,0.380786113632142
"bivt",0.005,1000,"0.01",TRUE,0.00696700269627028,-0.00409048725375259,0.380786113632142
"bivt",0.005,1000,"0.05",TRUE,0.00919832026243362,-0.0039480224627414,0.333169764841319
"bivt",0.005,1000,"0.1",TRUE,0.00759825524898572,-0.00361783218476685,0.333169764841319
"bivt",0.005,1000,"0.01",TRUE,0.0125221740035475,-0.0044129057020482,0.333169764841319
"bivt",0.005,1000,"0.05",TRUE,0.007003766104022,-0.00347285073070474,0.33726528802057
"bivt",0.005,1000,"0.1",TRUE,0.00611336152944468,-0.00313084143868015,0.33726528802057
"bivt",0.005,1000,"0.01",TRUE,0.00886124573536546,-0.00408444836547372,0.33726528802057
"bivt",0.005,1000,"0.05",TRUE,0.0071148989379042,-0.0037166470627541,0.270093760426918
"bivt",0.005,1000,"0.1",TRUE,0.00612671677088781,-0.00333922557513266,0.270093760426918
"bivt",0.005,1000,"0.01",TRUE,0.00891197158052016,-0.00419075582970447,0.270093760426918
"bivt",0.005,1000,"0.05",TRUE,0.0102457571107277,-0.0041983388915446,0.297870178069082
"bivt",0.005,1000,"0.1",TRUE,0.00867143818266526,-0.00386204056740686,0.297870178069082
"bivt",0.005,1000,"0.01",TRUE,0.0135593701187059,-0.00460511656942098,0.297870178069082
"bivt",0.005,1000,"0.05",TRUE,0.00905722843618938,-0.00376316871348036,0.236072220329155
"bivt",0.005,1000,"0.1",FALSE,0.00784843931430209,-0.00347656553528595,0.236072220329155
"bivt",0.005,1000,"0.01",TRUE,0.012284278190259,-0.00434013542629683,0.236072220329155
"bivt",0.005,1000,"0.05",TRUE,0.00606333504811695,-0.00339090583968568,0.295354947685901
"bivt",0.005,1000,"0.1",TRUE,0.00545986831783947,-0.00297590438930206,0.295354947685901
"bivt",0.005,1000,"0.01",TRUE,0.0079555916439021,-0.00415169010643291,0.295354947685901
"bivt",0.005,1000,"0.05",TRUE,0.00664556741733919,-0.0033429219205432,0.297406596922683
"bivt",0.005,1000,"0.1",TRUE,0.00576524670288702,-0.00299558563147513,0.297406596922683
"bivt",0.005,1000,"0.01",TRUE,0.00883663681388265,-0.00382897495165636,0.297406596922683
"bivt",0.005,1000,"0.05",TRUE,0.00697958219485982,-0.00359103423133243,0.321055723647226
"bivt",0.005,1000,"0.1",TRUE,0.0060551437528273,-0.00322128094829907,0.321055723647226
"bivt",0.005,1000,"0.01",TRUE,0.00895856568886982,-0.0042097211508192,0.321055723647226
"bivt",0.005,1000,"0.05",TRUE,0.00593094655890306,-0.00356163414213029,0.367117797555799
