"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.0130115091964287,-0.00388155861356852,0.00653546712366496,-0.00279348573555874,0.679477917595113,0.445584566363209,0.293912295203783
"bivt",0.005,1000,"0.1",TRUE,0.0115507498388352,-0.00378969846686609,0.00559992411273024,-0.00261225967714248,0.679477917595113,0.445584566363209,0.293912295203783
"bivt",0.005,1000,"0.01",TRUE,0.0142096111066487,-0.00406623527897887,0.00730279122990274,-0.0031578246284868,0.679477917595113,0.445584566363209,0.293912295203783
"bivt",0.005,1000,"0.05",TRUE,0.00540665452698233,-0.00423825350513561,0.00540665452698233,-0.00256607278412844,1.16164755357725,0,0.258908608360747
"bivt",0.005,1000,"0.1",TRUE,0.00505536742787628,-0.00417669103052996,0.00505536742787628,-0.00236936878426855,1.16164755357725,0,0.258908608360747
"bivt",0.005,1000,"0.01",TRUE,0.00775170107682433,-0.00435913921596332,0.00775170107682433,-0.0029523259846055,1.16164755357725,0,0.258908608360747
"bivt",0.005,1000,"0.05",TRUE,0.00505870026320761,-0.00388802314541976,0.00505870026320761,-0.00242373542417519,0.840201129589159,0,0.304395581314871
"bivt",0.005,1000,"0.1",TRUE,0.00421884336179843,-0.00383466731365206,0.00421884336179843,-0.00230011887700462,0.840201129589159,0,0.304395581314871
"bivt",0.005,1000,"0.01",TRUE,0.00709707440978649,-0.0040758510828622,0.00709707440978649,-0.00285890137173069,0.840201129589159,0,0.304395581314871
"bivt",0.005,1000,"0.05",TRUE,0.00929988532044872,-0.00436564546250308,0.00575520865543192,-0.00261970723139585,1.3223707655713,0.284861354369163,0.28105652099553
"bivt",0.005,1000,"0.1",TRUE,0.00885349433014636,-0.00429830662514369,0.00541946972221535,-0.00236703126214176,1.3223707655713,0.284861354369163,0.28105652099553
"bivt",0.005,1000,"0.01",TRUE,0.015026157424092,-0.00444434467948086,0.0100620439839917,-0.00291501082898056,1.3223707655713,0.284861354369163,0.28105652099553
"bivt",0.005,1000,"0.05",TRUE,0.011555072351557,-0.00409871364375296,0.00560269246505708,-0.00254778403766361,1.00092434158321,0.445584566363209,0.282329863696598
"bivt",0.005,1000,"0.1",TRUE,0.0104799395593144,-0.00403461886167113,0.00491412390352041,-0.00237339523588697,1.00092434158321,0.445584566363209,0.282329863696598
"bivt",0.005,1000,"0.01",TRUE,0.0146525254201679,-0.00423750862210082,0.0075864556050798,-0.00292541680558212,1.00092434158321,0.445584566363209,0.282329863696598
"bivt",0.005,1000,"0.05",TRUE,0.0088610878160342,-0.00347160513465987,0.00387733065876562,-0.00198471005008862,0.679477917595113,0.445584566363209,0.282368081770992
"bivt",0.005,1000,"0.1",TRUE,0.00777599129057376,-0.00335520679129893,0.00318238082646984,-0.00175507387236928,0.679477917595113,0.445584566363209,0.282368081770992
"bivt",0.005,1000,"0.01",TRUE,0.0103959946285568,-0.00373700798615195,0.00486036139098511,-0.00250830939534277,0.679477917595113,0.445584566363209,0.282368081770992
"bivt",0.005,1000,"0.05",TRUE,0.00749498640697118,-0.00295028405602735,0.00439771074678407,-0.00206785946817008,0.358031493607021,0.284861354369163,0.37376418730281
"bivt",0.005,1000,"0.1",TRUE,0.00659552436255735,-0.002831509252853,0.00372120868061165,-0.00189795084469875,0.358031493607021,0.284861354369163,0.37376418730281
"bivt",0.005,1000,"0.01",TRUE,0.00972718385416045,-0.00314902335538377,0.0060765877983582,-0.0023521581567879,0.358031493607021,0.284861354369163,0.37376418730281
"bivt",0.005,1000,"0.05",TRUE,0.00604243368554515,-0.00397253512983396,0.00475331587280818,-0.00220447809078954,1.00092434158321,0.124138142375117,0.335706478171664
"bivt",0.005,1000,"0.1",TRUE,0.00520152986677344,-0.00389943479060828,0.00401058100143039,-0.00200558700866128,1.00092434158321,0.124138142375117,0.335706478171664
"bivt",0.005,1000,"0.01",TRUE,0.00774113508317732,-0.00408721368421891,0.00625370716122273,-0.00251649499823661,1.00092434158321,0.124138142375117,0.335706478171664
"bivt",0.005,1000,"0.05",TRUE,0.00837293703473904,-0.00449946053205397,0.0068117511738125,-0.00279434360090252,1.48309397756534,0.124138142375117,0.257236437442447
"bivt",0.005,1000,"0.1",TRUE,0.0075228316010806,-0.00445697004957337,0.00606088890415586,-0.0026071068082303,1.48309397756534,0.124138142375117,0.257236437442447
"bivt",0.005,1000,"0.01",TRUE,0.0118360303359542,-0.00456663851230091,0.00987055540353331,-0.00309036729433498,1.48309397756534,0.124138142375117,0.257236437442447
"bivt",0.005,1000,"0.05",TRUE,0.00738490380279538,-0.00438572495369387,0.00738490380279538,-0.00269505164032414,1.3223707655713,0,0.22762799631237
"bivt",0.005,1000,"0.1",TRUE,0.00576342485106259,-0.00435393168516841,0.00576342485106259,-0.0025757535464537,1.3223707655713,0,0.22762799631237
"bivt",0.005,1000,"0.01",TRUE,0.00955359396654276,-0.00448957155148348,0.00955359396654276,-0.00308471592291619,1.3223707655713,0,0.22762799631237
"bivt",0.005,1000,"0.05",TRUE,0.0126050810575668,-0.00396324765928494,0.0046011201933596,-0.00259801805380569,0.840201129589159,0.606307778357255,0.330522373962036
"bivt",0.005,1000,"0.1",TRUE,0.0115658090300628,-0.00388957378396459,0.00403434202193089,-0.00242732799459291,0.840201129589159,0.606307778357255,0.330522373962036
"bivt",0.005,1000,"0.01",TRUE,0.0151413139238464,-0.00408608763461294,0.00598428204918269,-0.00288261775174831,0.840201129589159,0.606307778357255,0.330522373962036
"bivt",0.005,1000,"0.05",TRUE,0.00658645797007063,-0.00379928959823475,0.00658645797007063,-0.00221815462151873,0.840201129589159,0,0.317313279826167
"bivt",0.005,1000,"0.1",TRUE,0.00519778551754624,-0.00373324687769404,0.00519778551754624,-0.00206514467286797,0.840201129589159,0,0.317313279826167
"bivt",0.005,1000,"0.01",TRUE,0.00823843138939567,-0.00395843502917099,0.00823843138939567,-0.00258686799395683,0.840201129589159,0,0.317313279826167
"bivt",0.005,1000,"0.05",TRUE,0.00551740450265234,-0.00413181080591832,0.00551740450265234,-0.00263783465121986,1.00092434158321,0,0.324088362738602
"bivt",0.005,1000,"0.1",TRUE,0.00453991987336623,-0.00405826760150085,0.00453991987336623,-0.00243773862342151,1.00092434158321,0,0.324088362738602
"bivt",0.005,1000,"0.01",TRUE,0.00764296452544901,-0.00421462375982065,0.00764296452544901,-0.00286315177273175,1.00092434158321,0,0.324088362738602
"bivt",0.005,1000,"0.05",TRUE,0.0139187401175306,-0.00388359039400041,0.00531753828235142,-0.00241346547978914,0.840201129589159,0.606307778357255,0.299289365613259
"bivt",0.005,1000,"0.1",TRUE,0.0125790482555659,-0.00379147418234974,0.00458692292495947,-0.00220004760876306,0.840201129589159,0.606307778357255,0.299289365613259
"bivt",0.005,1000,"0.01",TRUE,0.0174221202950061,-0.00403625836061267,0.00722814432028949,-0.00276717164968496,0.840201129589159,0.606307778357255,0.299289365613259
"bivt",0.005,1000,"0.05",TRUE,0.0062849822351432,-0.0037988301592334,0.00496754877527224,-0.00263027511336596,0.679477917595113,0.124138142375117,0.292181367515445
"bivt",0.005,1000,"0.1",TRUE,0.00545274649026773,-0.00371681016424575,0.00423247004792269,-0.00246846217340754,0.679477917595113,0.124138142375117,0.292181367515445
"bivt",0.005,1000,"0.01",TRUE,0.00779740734116976,-0.00396317328510159,0.00630341007298165,-0.00295449903416348,0.679477917595113,0.124138142375117,0.292181367515445
"bivt",0.005,1000,"0.05",TRUE,0.0056222088158532,-0.00403374375325534,0.0056222088158532,-0.00276134572459478,0.840201129589159,0,0.240823647941288
"bivt",0.005,1000,"0.1",TRUE,0.00413858055460752,-0.00393484884288956,0.00413858055460752,-0.00253222274127432,0.840201129589159,0,0.240823647941288
"bivt",0.005,1000,"0.01",TRUE,0.00631758768814512,-0.00417586230792583,0.00631758768814512,-0.00309061066968503,0.840201129589159,0,0.240823647941288
"bivt",0.005,1000,"0.05",TRUE,0.00784800448011915,-0.00405371000476433,0.00466322217927197,-0.00242533833422405,1.00092434158321,0.284861354369163,0.263371724006367
"bivt",0.005,1000,"0.1",TRUE,0.00667582088413966,-0.00395838276013862,0.00378160118198984,-0.00216597238543714,1.00092434158321,0.284861354369163,0.263371724006367
"bivt",0.005,1000,"0.01",TRUE,0.0119693870708768,-0.00430366304504494,0.00776299037455092,-0.00310540946917711,1.00092434158321,0.284861354369163,0.263371724006367
"bivt",0.005,1000,"0.05",TRUE,0.00460511612669226,-0.00406164090025543,0.00460511612669226,-0.00244691667986758,1.00092434158321,0,0.297637119549121
"bivt",0.005,1000,"0.1",TRUE,0.00377503220180951,-0.00396107073024743,0.00377503220180951,-0.0021732858027117,1.00092434158321,0,0.297637119549121
"bivt",0.005,1000,"0.01",TRUE,0.00690318568053502,-0.00422275606449046,0.00690318568053502,-0.00288527811158472,1.00092434158321,0,0.297637119549121
"bivt",0.005,1000,"0.05",TRUE,0.00969770240646857,-0.00407974739731306,0.00605441425540419,-0.00249618075759266,1.00092434158321,0.284861354369163,0.257749327208204
"bivt",0.005,1000,"0.1",TRUE,0.0089080999152587,-0.00401863902453133,0.0054605395943489,-0.00232991736513242,1.00092434158321,0.284861354369163,0.257749327208204
"bivt",0.005,1000,"0.01",TRUE,0.0126983369875134,-0.00419305172295961,0.00831124711067836,-0.00280445866951977,1.00092434158321,0.284861354369163,0.257749327208204
"bivt",0.005,1000,"0.05",TRUE,0.0089337090602165,-0.00372988055924517,0.00547980070668205,-0.00205734547548807,0.840201129589159,0.284861354369163,0.334066141782423
"bivt",0.005,1000,"0.1",TRUE,0.0078779501133348,-0.00366590193296931,0.00468574484475745,-0.00190911768836686,0.840201129589159,0.284861354369163,0.334066141782423
"bivt",0.005,1000,"0.01",TRUE,0.0100658816124276,-0.00393538450279931,0.00633132865673984,-0.0025334637757837,0.840201129589159,0.284861354369163,0.334066141782423
"bivt",0.005,1000,"0.05",TRUE,0.00831269749928491,-0.00423754073028858,0.00831269749928491,-0.00256379533078844,1.16164755357725,0,0.257416968462021
