"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","beta_frac_pos","beta_frac_neg","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac"
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0123584327746541,-0.00350020076983964,0.036585069618929,0.0232929922807543,0.0232929922807543,0.036585069618929,0.767030990351301,0.174898286212228,0.242517970432965,8e-04,0.272
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00790152710705301,-0.00304312149819139,0.036585069618929,0.0232929922807543,0.0232929922807543,0.036585069618929,0.767030990351301,0.174898286212228,0.242517970432965,8e-04,0.272
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0143795968500589,-0.00443402379549501,0.036585069618929,0.0232929922807543,0.0232929922807543,0.036585069618929,0.767030990351301,0.174898286212228,0.242517970432965,8e-04,0.272
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.011199301715019,-0.00448557016910945,0.284861354369163,-0.181365606175397,0.12562229150883,0.197308281612975,0.606307778357255,0.299438941034804,-0.0227679107093904,8e-04,0.6796
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00654281900811455,-0.00351708432309798,0.284861354369163,-0.181365606175397,0.12562229150883,0.197308281612975,0.606307778357255,0.299438941034804,-0.0227679107093904,8e-04,0.6796
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.012922990127578,-0.00451073148825965,0.284861354369163,-0.181365606175397,0.12562229150883,0.197308281612975,0.606307778357255,0.299438941034804,-0.0227679107093904,8e-04,0.6796
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.00934012403849956,-0.00403792132501674,0.124138142375117,-0.0790363069473212,-0.0790363069473212,0,0.767030990351301,-0.41125475357121,0.353438901252667,0.0017,0.763
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00823747428061925,-0.00343515087320114,0.124138142375117,-0.0790363069473212,-0.0790363069473212,0,0.767030990351301,-0.41125475357121,0.353438901252667,0.0017,0.763
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0113678554150924,-0.0044822245041495,0.124138142375117,-0.0790363069473212,-0.0790363069473212,0,0.767030990351301,-0.41125475357121,0.353438901252667,0.0017,0.763
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0074144368388958,-0.00443414294504387,0.284861354369163,-0.181365606175397,0.12562229150883,0.197308281612975,1.08847741433939,-0.0843759476372855,0.219614427256268,3e-04,0.7846
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.0062007073505474,-0.00391896434848278,0.284861354369163,-0.181365606175397,0.12562229150883,0.197308281612975,1.08847741433939,-0.0843759476372855,0.219614427256268,3e-04,0.7846
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0135180335663944,-0.0044771176158975,0.284861354369163,-0.181365606175397,0.12562229150883,0.197308281612975,1.08847741433939,-0.0843759476372855,0.219614427256268,3e-04,0.7846
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.00801900931306964,-0.00432013586481085,0.284861354369163,-0.181365606175397,-0.181365606175397,0.518754705601067,0.445584566363209,0.234525594597477,0.0856602077691184,2e-04,0.5794
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00647021704703217,-0.0035174053188007,0.284861354369163,-0.181365606175397,-0.181365606175397,0.518754705601067,0.445584566363209,0.234525594597477,0.0856602077691184,2e-04,0.5794
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0137880762426565,-0.00448045962202386,0.284861354369163,-0.181365606175397,-0.181365606175397,0.518754705601067,0.445584566363209,0.234525594597477,0.0856602077691184,2e-04,0.5794
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.0109801573896421,-0.00391577131540292,0.284861354369163,-0.181365606175397,-0.0790363069473212,0,0.927754202345347,-0.0505201922487145,-0.194218572441048,0.0013,0.5564
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00907581464530811,-0.00331922689058383,0.284861354369163,-0.181365606175397,-0.0790363069473212,0,0.927754202345347,-0.0505201922487145,-0.194218572441048,0.0013,0.5564
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0127711240295029,-0.00447076961119197,0.284861354369163,-0.181365606175397,-0.0790363069473212,0,0.927754202345347,-0.0505201922487145,-0.194218572441048,0.0013,0.5564
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.010661041321658,-0.00402774106537896,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.036585069618929,0.767030990351301,0.66207692255854,-0.25127152327773,7e-04,0.5856
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00746741106134578,-0.00341019774562302,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.036585069618929,0.767030990351301,0.66207692255854,-0.25127152327773,7e-04,0.5856
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0125459172358456,-0.00448234292736167,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.036585069618929,0.767030990351301,0.66207692255854,-0.25127152327773,7e-04,0.5856
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.00959716690101805,-0.00415976461286694,0.284861354369163,-0.0790363069473212,-0.181365606175397,0,1.24920062633344,0.145776295097638,-0.337210675333631,0.0018,0.7428
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00725719121135542,-0.00366252040019242,0.284861354369163,-0.0790363069473212,-0.181365606175397,0,1.24920062633344,0.145776295097638,-0.337210675333631,0.0018,0.7428
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.011182404629248,-0.00446908620643434,0.284861354369163,-0.0790363069473212,-0.181365606175397,0,1.24920062633344,0.145776295097638,-0.337210675333631,0.0018,0.7428
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.00718281177335907,-0.00439342211361497,0.606307778357255,0.330280889964981,-0.386024204631547,0.358031493607021,0.927754202345347,0.270907068903443,0.598460603556091,3e-04,0.8218
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00622843181766111,-0.00435496726869414,0.606307778357255,0.330280889964981,-0.386024204631547,0.358031493607021,0.927754202345347,0.270907068903443,0.598460603556091,3e-04,0.8218
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.00876685609068171,-0.0044692631241148,0.606307778357255,0.330280889964981,-0.386024204631547,0.358031493607021,0.927754202345347,0.270907068903443,0.598460603556091,3e-04,0.8218
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.00972391672395965,-0.0035909597964446,0.036585069618929,0.0232929922807543,0.0232929922807543,0.036585069618929,0.606307778357255,0.154616934282446,-0.149210178963996,0.0012,0.4606
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.00903960127558867,-0.00321821119065093,0.036585069618929,0.0232929922807543,0.0232929922807543,0.036585069618929,0.606307778357255,0.154616934282446,-0.149210178963996,0.0012,0.4606
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0144672440450509,-0.00430327410210224,0.036585069618929,0.0232929922807543,0.0232929922807543,0.036585069618929,0.606307778357255,0.154616934282446,-0.149210178963996,0.0012,0.4606
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.012093357614314,-0.00360156313982856,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.036585069618929,0.927754202345347,0.262103538446861,0.238705697625428,0.0011,0.3294
"t50copula_t4t4margs",0.005,1000,"0.1",TRUE,0.0098271771068172,-0.00311600721798431,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.036585069618929,0.927754202345347,0.262103538446861,0.238705697625428,0.0011,0.3294
"t50copula_t4t4margs",0.005,1000,"0.01",TRUE,0.0137072587496418,-0.00436446248747369,0.124138142375117,0.0232929922807543,-0.0790363069473212,0.036585069618929,0.927754202345347,0.262103538446861,0.238705697625428,0.0011,0.3294
"t50copula_t4t4margs",0.005,1000,"0.05",TRUE,0.00661658683544608,-0.00441388890381027,0.445584566363209,-0.283694905403472,0.0232929922807543,0.036585069618929,1.24920062633344,0.495355709385391,0.261414292922995,0.0012,0.8194
