"dist","p","n","method","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","eta_hat","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","n_truth_pts"
"bivgauss",5e-05,1e+05,"hrv_full","0.05",FALSE,4.7381405833323e-05,-3.13242444661523e-05,NA,NA,NA,0.857154841093217,-0.125587854903342,-0.0544241355421015,0,0,50
"bivgauss",5e-05,1e+05,"hrv_full","0.1",FALSE,3.9967041707646e-05,-2.74934323359513e-05,NA,NA,NA,0.857154841093217,-0.125587854903342,-0.0544241355421015,0,0,50
"bivgauss",5e-05,1e+05,"hrv_full","0.01",TRUE,5.91333807920064e-05,-3.86331940576066e-05,NA,NA,NA,0.857154841093217,-0.125587854903342,-0.0544241355421015,0,0,50
"bivgauss",5e-05,1e+05,"hrv_interior","0.05",TRUE,4.7381405833323e-05,-3.13242444661523e-05,NA,NA,NA,0.857154841093217,-0.125587854903342,-0.0544241355421015,0,0,10
"bivgauss",5e-05,1e+05,"hrv_interior","0.1",TRUE,3.9967041707646e-05,-2.74934323359513e-05,NA,NA,NA,0.857154841093217,-0.125587854903342,-0.0544241355421015,0,0,10
"bivgauss",5e-05,1e+05,"hrv_interior","0.01",TRUE,5.91333807920064e-05,-3.86331940576066e-05,NA,NA,NA,0.857154841093217,-0.125587854903342,-0.0544241355421015,0,0,10
"bivgauss",5e-05,1e+05,"hrv_full","0.05",FALSE,5.15961940053959e-05,-3.11083972050327e-05,NA,NA,NA,0.859459428590163,-0.18691951582981,-0.0290005214015158,0,0,50
"bivgauss",5e-05,1e+05,"hrv_full","0.1",FALSE,4.43642652967317e-05,-2.77788229747605e-05,NA,NA,NA,0.859459428590163,-0.18691951582981,-0.0290005214015158,0,0,50
"bivgauss",5e-05,1e+05,"hrv_full","0.01",TRUE,6.80112852035938e-05,-3.63541616107584e-05,NA,NA,NA,0.859459428590163,-0.18691951582981,-0.0290005214015158,0,0,50
"bivgauss",5e-05,1e+05,"hrv_interior","0.05",TRUE,5.15961940053959e-05,-3.11083972050327e-05,NA,NA,NA,0.859459428590163,-0.18691951582981,-0.0290005214015158,0,0,10
