"dist","p","n","method","alpha","is_covered","c_plus_raw","c_minus_raw","b_marg","B_marg1","B_marg2","eta_hat","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","n_truth_pts"
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.05",FALSE,5.85652067692268e-05,-3.37612121770577e-05,NA,NA,NA,0.157921959433326,-0.0742024231538274,-1.5604326678371,0.0046,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.1",FALSE,4.86733131511705e-05,-2.99824406418928e-05,NA,NA,NA,0.157921959433326,-0.0742024231538274,-1.5604326678371,0.0046,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.01",FALSE,0.000102559678986829,-3.88804536348791e-05,NA,NA,NA,0.157921959433326,-0.0742024231538274,-1.5604326678371,0.0046,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.05",FALSE,5.85652067692268e-05,-3.37612121770577e-05,NA,NA,NA,0.157921959433326,-0.0742024231538274,-1.5604326678371,0.0046,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.1",FALSE,4.86733131511705e-05,-2.99824406418928e-05,NA,NA,NA,0.157921959433326,-0.0742024231538274,-1.5604326678371,0.0046,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.01",FALSE,0.000102559678986829,-3.88804536348791e-05,NA,NA,NA,0.157921959433326,-0.0742024231538274,-1.5604326678371,0.0046,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.05",FALSE,5.79559841553517e-05,-3.16270603486134e-05,NA,NA,NA,0.155572945325611,-0.0876563941336258,-1.54183533044872,0.0024,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.1",FALSE,4.9262576354453e-05,-2.89209821334899e-05,NA,NA,NA,0.155572945325611,-0.0876563941336258,-1.54183533044872,0.0024,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.01",FALSE,8.19802058559611e-05,-3.49343931391504e-05,NA,NA,NA,0.155572945325611,-0.0876563941336258,-1.54183533044872,0.0024,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.05",FALSE,5.79559841553517e-05,-3.16270603486134e-05,NA,NA,NA,0.155572945325611,-0.0876563941336258,-1.54183533044872,0.0024,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.1",FALSE,4.9262576354453e-05,-2.89209821334899e-05,NA,NA,NA,0.155572945325611,-0.0876563941336258,-1.54183533044872,0.0024,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.01",FALSE,8.19802058559611e-05,-3.49343931391504e-05,NA,NA,NA,0.155572945325611,-0.0876563941336258,-1.54183533044872,0.0024,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.05",FALSE,6.32122591054915e-05,-3.36131760885893e-05,NA,NA,NA,0.1517006447446,-0.141740703876702,-1.37504995905075,0.0041,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.1",FALSE,5.13975054191957e-05,-2.86026161605978e-05,NA,NA,NA,0.1517006447446,-0.141740703876702,-1.37504995905075,0.0041,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.01",FALSE,8.89216275809223e-05,-4.58622933778379e-05,NA,NA,NA,0.1517006447446,-0.141740703876702,-1.37504995905075,0.0041,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.05",FALSE,6.32122591054915e-05,-3.36131760885893e-05,NA,NA,NA,0.1517006447446,-0.141740703876702,-1.37504995905075,0.0041,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.1",FALSE,5.13975054191957e-05,-2.86026161605978e-05,NA,NA,NA,0.1517006447446,-0.141740703876702,-1.37504995905075,0.0041,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.01",FALSE,8.89216275809223e-05,-4.58622933778379e-05,NA,NA,NA,0.1517006447446,-0.141740703876702,-1.37504995905075,0.0041,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.05",FALSE,6.51409884130979e-05,-3.32243715074483e-05,NA,NA,NA,0.155326250053795,-0.04603978627299,-1.38000243146286,0.0044,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.1",FALSE,5.21825757968285e-05,-2.90809229857836e-05,NA,NA,NA,0.155326250053795,-0.04603978627299,-1.38000243146286,0.0044,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.01",FALSE,0.000102739610818596,-4.30773233801811e-05,NA,NA,NA,0.155326250053795,-0.04603978627299,-1.38000243146286,0.0044,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.05",FALSE,6.51409884130979e-05,-3.32243715074483e-05,NA,NA,NA,0.155326250053795,-0.04603978627299,-1.38000243146286,0.0044,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.1",FALSE,5.21825757968285e-05,-2.90809229857836e-05,NA,NA,NA,0.155326250053795,-0.04603978627299,-1.38000243146286,0.0044,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.01",FALSE,0.000102739610818596,-4.30773233801811e-05,NA,NA,NA,0.155326250053795,-0.04603978627299,-1.38000243146286,0.0044,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.05",FALSE,5.29949032307757e-05,-3.26665730967049e-05,NA,NA,NA,0.148526746268747,-0.0631350311924665,-1.3840152663197,0.0036,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.1",FALSE,4.49956455982509e-05,-2.98634429284736e-05,NA,NA,NA,0.148526746268747,-0.0631350311924665,-1.3840152663197,0.0036,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.01",FALSE,7.45585875304943e-05,-3.82244804589857e-05,NA,NA,NA,0.148526746268747,-0.0631350311924665,-1.3840152663197,0.0036,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.05",FALSE,5.29949032307757e-05,-3.26665730967049e-05,NA,NA,NA,0.148526746268747,-0.0631350311924665,-1.3840152663197,0.0036,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.1",FALSE,4.49956455982509e-05,-2.98634429284736e-05,NA,NA,NA,0.148526746268747,-0.0631350311924665,-1.3840152663197,0.0036,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.01",FALSE,7.45585875304943e-05,-3.82244804589857e-05,NA,NA,NA,0.148526746268747,-0.0631350311924665,-1.3840152663197,0.0036,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.05",FALSE,6.54874728457081e-05,-3.37994192577051e-05,NA,NA,NA,0.143617602898537,-0.0706382738028551,-1.40167345539617,0.0035,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.1",FALSE,5.39520081895568e-05,-3.37994192577051e-05,NA,NA,NA,0.143617602898537,-0.0706382738028551,-1.40167345539617,0.0035,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.01",FALSE,9.22387996739114e-05,-4.14038221221442e-05,NA,NA,NA,0.143617602898537,-0.0706382738028551,-1.40167345539617,0.0035,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.05",FALSE,6.54874728457081e-05,-3.37994192577051e-05,NA,NA,NA,0.143617602898537,-0.0706382738028551,-1.40167345539617,0.0035,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.1",FALSE,5.39520081895568e-05,-3.37994192577051e-05,NA,NA,NA,0.143617602898537,-0.0706382738028551,-1.40167345539617,0.0035,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.01",FALSE,9.22387996739114e-05,-4.14038221221442e-05,NA,NA,NA,0.143617602898537,-0.0706382738028551,-1.40167345539617,0.0035,0,12
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.05",FALSE,6.67591584038504e-05,-3.46921504100198e-05,NA,NA,NA,0.158606770146298,-0.0989230207709301,-1.50442069715215,0.0042,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.1",FALSE,5.30782566658677e-05,-3.1443863715129e-05,NA,NA,NA,0.158606770146298,-0.0989230207709301,-1.50442069715215,0.0042,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_full","0.01",FALSE,0.000131879232691775,-3.96479242635515e-05,NA,NA,NA,0.158606770146298,-0.0989230207709301,-1.50442069715215,0.0042,0,50
"karachiBetaKDE",5e-05,1e+05,"percoord_interior","0.05",FALSE,6.67591584038504e-05,-3.46921504100198e-05,NA,NA,NA,0.158606770146298,-0.0989230207709301,-1.50442069715215,0.0042,0,12
