"dist","p","n","method","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","b_marg","B_marg1","B_marg2","eta_hat","xi_gpd1","xi_gpd2","fallback_frac","clamp_frac","n_truth_pts","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"karachiBetaKDE",0.005,1000,"percoord_full","0.05",TRUE,0.212570131835024,-0.00495295934833962,0.0287010986730963,-0.00437854347958074,1.96526361354748,1.24920062633344,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,50,FALSE,12.6323600389905,31.5439777552361,0.162502938727994,0.489379095061085
"karachiBetaKDE",0.005,1000,"percoord_full","0.1",TRUE,0.17382725459363,-0.00494828971823443,0.0226999186499949,-0.0043168527509368,1.96526361354748,1.24920062633344,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,50,FALSE,12.4057627674822,31.3774467665904,0.160360798246956,0.484863315771345
"karachiBetaKDE",0.005,1000,"percoord_full","0.01",TRUE,0.325586356590169,-0.00495295934833962,0.046207044503115,-0.00437854347958074,1.96526361354748,1.24920062633344,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,50,FALSE,12.6323600389905,31.5439777552361,0.162502938727994,0.489379095061085
"karachiBetaKDE",0.005,1000,"percoord_interior","0.05",TRUE,0.212570131835024,-0.00495295934833962,0.0287010986730963,-0.00437854347958074,1.96526361354748,1.24920062633344,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,20,FALSE,12.6323600389905,31.5439777552361,0.162502938727994,0.489379095061085
"karachiBetaKDE",0.005,1000,"percoord_interior","0.1",TRUE,0.17382725459363,-0.00494828971823443,0.0226999186499949,-0.0043168527509368,1.96526361354748,1.24920062633344,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,20,FALSE,12.4057627674822,31.3774467665904,0.160360798246956,0.484863315771345
"karachiBetaKDE",0.005,1000,"percoord_interior","0.01",TRUE,0.325586356590169,-0.00495295934833962,0.046207044503115,-0.00437854347958074,1.96526361354748,1.24920062633344,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,20,FALSE,12.6323600389905,31.5439777552361,0.162502938727994,0.489379095061085
"karachiBetaKDE",0.005,1000,"hrv_interior","0.05",TRUE,0.220631866387538,-0.00497370280593929,0.0247607599026486,-0.00452087455122404,2.28671003753557,1.40992383832749,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,20,FALSE,13.0998660751083,31.8125632654927,0.165844586159649,0.578816788297827
"karachiBetaKDE",0.005,1000,"hrv_interior","0.1",TRUE,0.188303694724969,-0.00497004991854549,0.0204966859917017,-0.00445432025239499,2.28671003753557,1.40992383832749,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,20,FALSE,12.9059943331494,31.4853509128897,0.163431398492508,0.57455253282444
"karachiBetaKDE",0.005,1000,"hrv_interior","0.01",TRUE,0.256652115822597,-0.00497370280593929,0.029511817509153,-0.00452087455122404,2.28671003753557,1.40992383832749,0.61579017903706,-0.0790363069473212,-0.0790363069473212,0.201591624227002,-0.0850342924568743,-0.541268026597351,0.0033,0.0009434,20,FALSE,13.0998660751083,31.8125632654927,0.165844586159649,0.578816788297827
"karachiBetaKDE",0.005,1000,"percoord_full","0.05",TRUE,0.779193647910583,-0.0049875033344647,0.0361667355747019,-0.00432817579190325,2.44743324952962,1.40992383832749,1.5371016101315,-0.181365606175397,-0.181365606175397,0.185323697855468,-0.242362297294687,-0.67501254791291,0.0029,0.00115440000000001,50,FALSE,14.1148063954507,32.0901756521361,0.173044574016895,0.520856434421466
"karachiBetaKDE",0.005,1000,"percoord_full","0.1",TRUE,0.617053683610326,-0.0049875033344647,0.0276550968305924,-0.00432817579190325,2.44743324952962,1.40992383832749,1.5371016101315,-0.181365606175397,-0.181365606175397,0.185323697855468,-0.242362297294687,-0.67501254791291,0.0029,0.00115440000000001,50,FALSE,14.1148063954507,32.0901756521361,0.173044574016895,0.520856434421466
"karachiBetaKDE",0.005,1000,"percoord_full","0.01",TRUE,1.2352059854179,-0.00498982910989166,0.0601053881855502,-0.00445321012446268,2.44743324952962,1.40992383832749,1.5371016101315,-0.181365606175397,-0.181365606175397,0.185323697855468,-0.242362297294687,-0.67501254791291,0.0029,0.00115440000000001,50,FALSE,14.3830083364703,32.4456902235578,0.178815734499247,0.530907772157989
"karachiBetaKDE",0.005,1000,"percoord_interior","0.05",TRUE,0.779193647910583,-0.0049875033344647,0.0361667355747019,-0.00432817579190325,2.44743324952962,1.40992383832749,1.5371016101315,-0.181365606175397,-0.181365606175397,0.185323697855468,-0.242362297294687,-0.67501254791291,0.0029,0.00115440000000001,20,FALSE,14.1148063954507,32.0901756521361,0.173044574016895,0.520856434421466
"karachiBetaKDE",0.005,1000,"percoord_interior","0.1",TRUE,0.617053683610326,-0.0049875033344647,0.0276550968305924,-0.00432817579190325,2.44743324952962,1.40992383832749,1.5371016101315,-0.181365606175397,-0.181365606175397,0.185323697855468,-0.242362297294687,-0.67501254791291,0.0029,0.00115440000000001,20,FALSE,14.1148063954507,32.0901756521361,0.173044574016895,0.520856434421466
"karachiBetaKDE",0.005,1000,"percoord_interior","0.01",TRUE,1.2352059854179,-0.00498982910989166,0.0601053881855502,-0.00445321012446268,2.44743324952962,1.40992383832749,1.5371016101315,-0.181365606175397,-0.181365606175397,0.185323697855468,-0.242362297294687,-0.67501254791291,0.0029,0.00115440000000001,20,FALSE,14.3830083364703,32.4456902235578,0.178815734499247,0.530907772157989
"karachiBetaKDE",0.005,1000,"hrv_interior","0.05",TRUE,0.521591000420221,-0.00499307684842573,0.027463679821963,-0.00448670415266073,2.76887967351771,1.24920062633344,1.5371016101315,-0.181365606175397,-0.181365606175397,0.185323697855468,-0.242362297294687,-0.67501254791291,0.0029,0.00115440000000001,20,FALSE,14.9389005715353,31.7039074537101,0.187328805325202,0.594959745172729
"karachiBetaKDE",0.005,1000,"hrv_interior","0.1",TRUE,0.44792038932031,-0.00499307684842573,0.02292197833233,-0.00448670415266073,2.76887967351771,1.24920062633344,1.5371016101315,-0.181365606175397,-0.181365606175397,0.185323697855468,-0.242362297294687,-0.67501254791291,0.0029,0.00115440000000001,20,FALSE,14.9389005715353,31.7039074537101,0.187328805325202,0.594959745172729
"karachiBetaKDE",0.005,1000,"hrv_interior","0.01",TRUE,0.544524895702615,-0.00499461997572717,0.0288775259243915,-0.00460111459525243,2.76887967351771,1.24920062633344,1.5371016101315,-0.181365606175397,-0.181365606175397,0.185323697855468,-0.242362297294687,-0.67501254791291,0.0029,0.00115440000000001,20,FALSE,15.284577149496,32.1545646458179,0.193530532889155,0.601721751757975
"karachiBetaKDE",0.005,1000,"percoord_full","0.05",TRUE,0.923424754594405,-0.00497740412505239,0.0433474359815477,-0.00435615367230242,1.96526361354748,1.57064705032153,1.38442909731794,-0.0790363069473212,-0.181365606175397,0.205760883616955,-0.0146113601547221,-0.530528035647082,0.0015,0.000780700000000005,50,FALSE,14.7481828524885,32.6499765108423,0.180167557588981,0.531165070437781
"karachiBetaKDE",0.005,1000,"percoord_full","0.1",TRUE,0.663242373169166,-0.00497583182400512,0.029798517808875,-0.0043113525633538,1.96526361354748,1.57064705032153,1.38442909731794,-0.0790363069473212,-0.181365606175397,0.205760883616955,-0.0146113601547221,-0.530528035647082,0.0015,0.000780700000000005,50,FALSE,14.5157750569216,32.5735060538676,0.179091723859051,0.528400033280578
"karachiBetaKDE",0.005,1000,"percoord_full","0.01",TRUE,1.35521938254304,-0.00497799576151497,0.0658330095604673,-0.00437301174770989,1.96526361354748,1.57064705032153,1.38442909731794,-0.0790363069473212,-0.181365606175397,0.205760883616955,-0.0146113601547221,-0.530528035647082,0.0015,0.000780700000000005,50,FALSE,14.757364360482,32.685319569969,0.180946853703767,0.532147264897898
"karachiBetaKDE",0.005,1000,"percoord_interior","0.05",TRUE,0.923424754594405,-0.00497740412505239,0.0433474359815477,-0.00435615367230242,1.96526361354748,1.57064705032153,1.38442909731794,-0.0790363069473212,-0.181365606175397,0.205760883616955,-0.0146113601547221,-0.530528035647082,0.0015,0.000780700000000005,20,FALSE,14.7481828524885,32.6499765108423,0.180167557588981,0.531165070437781
"karachiBetaKDE",0.005,1000,"percoord_interior","0.1",TRUE,0.663242373169166,-0.00497583182400512,0.029798517808875,-0.0043113525633538,1.96526361354748,1.57064705032153,1.38442909731794,-0.0790363069473212,-0.181365606175397,0.205760883616955,-0.0146113601547221,-0.530528035647082,0.0015,0.000780700000000005,20,FALSE,14.5157750569216,32.5735060538676,0.179091723859051,0.528400033280578
"karachiBetaKDE",0.005,1000,"percoord_interior","0.01",TRUE,1.35521938254304,-0.00497799576151497,0.0658330095604673,-0.00437301174770989,1.96526361354748,1.57064705032153,1.38442909731794,-0.0790363069473212,-0.181365606175397,0.205760883616955,-0.0146113601547221,-0.530528035647082,0.0015,0.000780700000000005,20,FALSE,14.757364360482,32.685319569969,0.180946853703767,0.532147264897898
"karachiBetaKDE",0.005,1000,"hrv_interior","0.05",TRUE,0.59688949471939,-0.00499079933755124,0.0263432118972576,-0.00450137164156054,2.60815646152367,1.57064705032153,1.38442909731794,-0.0790363069473212,-0.181365606175397,0.205760883616955,-0.0146113601547221,-0.530528035647082,0.0015,0.000780700000000005,20,FALSE,15.5891450348898,32.7859769557428,0.194422588456439,0.611361459819299
"karachiBetaKDE",0.005,1000,"hrv_interior","0.1",TRUE,0.521076231359584,-0.00499069171175106,0.0223952593263013,-0.00449553887936877,2.60815646152367,1.57064705032153,1.38442909731794,-0.0790363069473212,-0.181365606175397,0.205760883616955,-0.0146113601547221,-0.530528035647082,0.0015,0.000780700000000005,20,FALSE,15.5734238167662,32.7576131229502,0.194240877269668,0.611283323146358
"karachiBetaKDE",0.005,1000,"hrv_interior","0.01",TRUE,0.634359172883805,-0.00499079933755124,0.0282944339616613,-0.00450137164156054,2.60815646152367,1.57064705032153,1.38442909731794,-0.0790363069473212,-0.181365606175397,0.205760883616955,-0.0146113601547221,-0.530528035647082,0.0015,0.000780700000000005,20,FALSE,15.5891450348898,32.7859769557428,0.194422588456439,0.611361459819299
"karachiBetaKDE",0.005,1000,"percoord_full","0.05",TRUE,0.309969805395914,-0.00497585308073937,0.0342348651143445,-0.00435754264631897,2.60815646152367,1.40992383832749,0.672987172335219,0.0232929922807543,-0.0790363069473212,0.184458407943151,-0.263065848189938,-0.469421023464575,0.0026,0.000935299999999995,50,FALSE,12.9572598768886,32.132201808862,0.161440844959638,0.492417048966331
