"dist","regime","label","n","p","alpha","is_covered","c_plus_estimate","c_minus_estimate","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0191046,-0.0169604,FALSE,0.578451885686291,0.762364000693641,0.287072906518637,0.363046236901298
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0170748,-0.0158748,FALSE,0.541092495637106,0.741247688409879,0.260737737266234,0.352990413561164
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0230894,-0.0209418,FALSE,0.771172562240997,0.960145489045502,0.381138423996832,0.526408828523559
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190052,-0.0180062,FALSE,0.799479984641092,0.882484130750401,0.401762710947687,0.457950509772318
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0169938,-0.0159948,FALSE,0.662838625295609,0.784769743359076,0.333284608157467,0.408231576462513
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0238656,-0.0209788,FALSE,0.906394086294073,0.991245730579224,0.453727209289117,0.516941380498313
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190402,-0.0179452,FALSE,0.606097291474921,0.721281561898368,0.29910252697201,0.355360772965818
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.017044,-0.0159598,FALSE,0.554504843927117,0.65000382081861,0.272173388733692,0.325142938052956
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0230472,-0.0219528,FALSE,0.760685184267981,0.925945358434186,0.376243138764922,0.457793574885297
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0189888,-0.0170654,FALSE,0.685371279276488,0.821351879313975,0.335165495805606,0.394151357802988
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0169346,-0.0159664,FALSE,0.613530330756676,0.705228366259401,0.304062519280757,0.340682076257412
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0239434,-0.0210312,FALSE,0.873943977697547,1.02072568351511,0.425676167153121,0.498215603023639
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190742,-0.0169406,FALSE,0.7714882351188,1.01895246036444,0.344548503556945,0.461143662268155
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0160964,-0.0149532,FALSE,0.652082951444427,0.807621175062405,0.288401540536607,0.372788597602474
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0231366,-0.01994,FALSE,0.878891751928233,1.13058229362882,0.38863189880345,0.523048054836821
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0179388,-0.0161014,FALSE,0.812238556214893,0.997045007616616,0.391121811658806,0.455258328211894
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0159288,-0.014994,FALSE,0.690394092250257,0.95452624107439,0.332487216148403,0.435843936257897
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.022006,-0.020043,FALSE,1.01614397489289,1.16541804473412,0.482759052800195,0.548699907237843
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0191586,-0.0177802,FALSE,0.793851958369322,0.947714255157059,0.376073145966794,0.451301294075855
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0162374,-0.0158252,FALSE,0.691604673285496,0.800240228128756,0.318983916561256,0.377705031905228
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0241,-0.0208402,FALSE,0.971051989998395,1.09696909533982,0.452569776137576,0.526549132253012
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01899,-0.0170598,FALSE,0.587198110925874,0.716641970052616,0.298916696768469,0.349006942069885
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0169266,-0.0159044,FALSE,0.523590187814293,0.634208230178134,0.274302041018665,0.306749683719928
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0230792,-0.0209786,FALSE,0.725891066758498,0.869803502745899,0.36820450101409,0.420700862382138
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190822,-0.0171072,FALSE,0.594685836564817,0.798746502233405,0.313207159317575,0.42067393936485
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0169754,-0.0159836,FALSE,0.533188165422318,0.732838030141062,0.277550704018043,0.386874463359229
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0239028,-0.0209094,FALSE,0.70162344321079,0.995657724456455,0.361794603525711,0.505647216481008
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01921,-0.0169788,FALSE,0.678561408501519,0.824898150418078,0.302944791195447,0.353211429129111
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0171436,-0.0158214,FALSE,0.624178481938967,0.76174898745279,0.28322220794695,0.320509000269567
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0240796,-0.020916,FALSE,0.853471514297808,0.993126939846646,0.385013703176997,0.425229432311971
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190874,-0.0168878,FALSE,0.748426116273163,0.939900142718822,0.353514742229677,0.400885425722412
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0161946,-0.0149022,FALSE,0.633742862037172,0.84787521726893,0.292410853956484,0.376226967900746
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0231032,-0.0199022,FALSE,0.873872495378817,1.14515929362459,0.418193145836038,0.488058699129694
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0189018,-0.017065,FALSE,0.806771624622997,1.08489814290744,0.376622151844064,0.469156027443462
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0160006,-0.0150854,FALSE,0.73827647364051,0.981413931931576,0.333361895813486,0.421431473106839
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0228994,-0.0211092,FALSE,0.956964714758108,1.32022578468358,0.451606135608692,0.56766911644331
