"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.00577996800353575,-0.00243790481266788,0.334683272500777
"bivt",0.005,1000,"0.1",TRUE,0.00499062660763768,-0.00227940562882012,0.334683272500777
"bivt",0.005,1000,"0.01",TRUE,0.00730713814136757,-0.00263017799078003,0.334683272500777
"bivt",0.005,1000,"0.05",TRUE,0.00782672409493764,-0.0043942452079705,0.240103834109985
"bivt",0.005,1000,"0.1",TRUE,0.00637042601966588,-0.00420359245549549,0.240103834109985
"bivt",0.005,1000,"0.01",TRUE,0.00962374209997702,-0.00446072037043835,0.240103834109985
"bivt",0.005,1000,"0.05",TRUE,0.00610877265934333,-0.00374819240215472,0.273165412332142
"bivt",0.005,1000,"0.1",TRUE,0.00500739909410744,-0.00370723515826128,0.273165412332142
"bivt",0.005,1000,"0.01",TRUE,0.00754897337448385,-0.0038516566982741,0.273165412332142
"bivt",0.005,1000,"0.05",TRUE,0.00736671515894244,-0.00417299316957693,0.25742224148353
"bivt",0.005,1000,"0.1",TRUE,0.00663080536775818,-0.00412208635120631,0.25742224148353
"bivt",0.005,1000,"0.01",TRUE,0.00767905660889864,-0.00436581613876184,0.25742224148353
"bivt",0.005,1000,"0.05",TRUE,0.0072132467049165,-0.00423335155558778,0.249059027684851
"bivt",0.005,1000,"0.1",TRUE,0.00549151212943174,-0.00419571299782111,0.249059027684851
"bivt",0.005,1000,"0.01",TRUE,0.00737997495699055,-0.00435158640707092,0.249059027684851
"bivt",0.005,1000,"0.05",FALSE,0.0109272157762861,-0.00197248072858171,0.322672559834371
"bivt",0.005,1000,"0.1",FALSE,0.0102568156363783,-0.00175439254958134,0.322672559834371
"bivt",0.005,1000,"0.01",TRUE,0.0123536035473647,-0.0023521637560636,0.322672559834371
"bivt",0.005,1000,"0.05",TRUE,0.00707993998053129,-0.00364465712228597,0.280619569451498
"bivt",0.005,1000,"0.1",TRUE,0.00591514895237139,-0.00358942567788259,0.280619569451498
"bivt",0.005,1000,"0.01",TRUE,0.00836535916843588,-0.0039046903169964,0.280619569451498
"bivt",0.005,1000,"0.05",TRUE,0.00683719879882796,-0.00388571219428103,0.250504078696471
"bivt",0.005,1000,"0.1",TRUE,0.00559091397080451,-0.00387359777683277,0.250504078696471
"bivt",0.005,1000,"0.01",TRUE,0.00746776503728858,-0.00402418883866125,0.250504078696471
"bivt",0.005,1000,"0.05",TRUE,0.00776659218389886,-0.00400095739381372,0.233979511638858
"bivt",0.005,1000,"0.1",TRUE,0.00651165323055545,-0.00389439926344806,0.233979511638858
"bivt",0.005,1000,"0.01",TRUE,0.00876759169883393,-0.00415777501680741,0.233979511638858
"bivt",0.005,1000,"0.05",TRUE,0.00578363439871227,-0.00358659883732295,0.259727300024353
"bivt",0.005,1000,"0.1",TRUE,0.00494720320350365,-0.00333947940987384,0.259727300024353
"bivt",0.005,1000,"0.01",TRUE,0.00748376271199945,-0.00374838948967939,0.259727300024353
"bivt",0.005,1000,"0.05",TRUE,0.0104442379631228,-0.00427637748747487,0.224190241021016
"bivt",0.005,1000,"0.1",TRUE,0.00780852154364374,-0.00423863235006962,0.224190241021016
"bivt",0.005,1000,"0.01",TRUE,0.0136963226263788,-0.00450859121618341,0.224190241021016
"bivt",0.005,1000,"0.05",TRUE,0.0114095822985014,-0.00458262102818905,0.249970901902902
"bivt",0.005,1000,"0.1",TRUE,0.00906747282486587,-0.0045141002536876,0.249970901902902
"bivt",0.005,1000,"0.01",TRUE,0.0134724426068347,-0.00461885979598168,0.249970901902902
"bivt",0.005,1000,"0.05",TRUE,0.00417225369484523,-0.00369784682991211,0.294080083039743
"bivt",0.005,1000,"0.1",TRUE,0.00334515727343815,-0.00362788801998658,0.294080083039743
"bivt",0.005,1000,"0.01",TRUE,0.00907774934687432,-0.00391791466195171,0.294080083039743
"bivt",0.005,1000,"0.05",TRUE,0.00748453177008462,-0.00248308020174875,0.269639710523538
"bivt",0.005,1000,"0.1",TRUE,0.00626792250726743,-0.00219644320824579,0.269639710523538
"bivt",0.005,1000,"0.01",TRUE,0.00867082735893503,-0.00273897141783948,0.269639710523538
"bivt",0.005,1000,"0.05",TRUE,0.0134696791848512,-0.00222506306273119,0.350618993930769
