"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.0048887792372067,-0.00452887157231677,0.297242966728452
"bivt",0.005,1000,"0.1",TRUE,0.00423209149075578,-0.00449251740450139,0.297242966728452
"bivt",0.005,1000,"0.01",TRUE,0.00706239143666413,-0.00460231575572343,0.297242966728452
"bivt",0.005,1000,"0.05",TRUE,0.005757700188407,-0.00473000109422029,0.232908856544116
"bivt",0.005,1000,"0.1",TRUE,0.00509122136526419,-0.00468908847496737,0.232908856544116
"bivt",0.005,1000,"0.01",TRUE,0.00673170185219552,-0.00476167270547393,0.232908856544116
"bivt",0.005,1000,"0.05",TRUE,0.00733391035409283,-0.0045913584211247,0.264827539745716
"bivt",0.005,1000,"0.1",TRUE,0.0055198192153869,-0.00458161094393134,0.264827539745716
"bivt",0.005,1000,"0.01",TRUE,0.00889785194596315,-0.00463421759573581,0.264827539745716
"bivt",0.005,1000,"0.05",TRUE,0.00369460996120841,-0.00410597315025617,0.33241369025037
"bivt",0.005,1000,"0.1",TRUE,0.00307236409026581,-0.00405573574037018,0.33241369025037
"bivt",0.005,1000,"0.01",TRUE,0.00474823795610687,-0.00420259575234321,0.33241369025037
"bivt",0.005,1000,"0.05",TRUE,0.00365006448332565,-0.00427555434018894,0.291839870870562
"bivt",0.005,1000,"0.1",TRUE,0.00334493489320215,-0.00407908005701197,0.291839870870562
"bivt",0.005,1000,"0.01",TRUE,0.00468676354834011,-0.00438275747926721,0.291839870870562
"bivt",0.005,1000,"0.05",TRUE,0.00679648876208866,-0.00339590641143309,0.389610141913177
"bivt",0.005,1000,"0.1",TRUE,0.00657906517923333,-0.00338026026636144,0.389610141913177
"bivt",0.005,1000,"0.01",TRUE,0.00714947391051148,-0.00350769336191439,0.389610141913177
"bivt",0.005,1000,"0.05",TRUE,0.00464984553398605,-0.00424601923570503,0.309971951768274
"bivt",0.005,1000,"0.1",TRUE,0.00372755491722703,-0.00421781239054184,0.309971951768274
"bivt",0.005,1000,"0.01",TRUE,0.00513255939551045,-0.00433691842120927,0.309971951768274
"bivt",0.005,1000,"0.05",TRUE,0.00392020545913234,-0.0043306768135515,0.320905721928524
"bivt",0.005,1000,"0.1",TRUE,0.00318354041364893,-0.00425789102182616,0.320905721928524
"bivt",0.005,1000,"0.01",TRUE,0.00493574580424508,-0.00435294055278632,0.320905721928524
"bivt",0.005,1000,"0.05",TRUE,0.0040013583014997,-0.00412949372850935,0.333686442489964
"bivt",0.005,1000,"0.1",TRUE,0.00370154550382904,-0.00409537329503168,0.333686442489964
"bivt",0.005,1000,"0.01",TRUE,0.00504008575609001,-0.00421014052733552,0.333686442489964
"bivt",0.005,1000,"0.05",TRUE,0.0033509320731916,-0.0038797187325808,0.319604564434437
"bivt",0.005,1000,"0.1",TRUE,0.0028064646650581,-0.00370259509236914,0.319604564434437
"bivt",0.005,1000,"0.01",TRUE,0.004390941982041,-0.00401638246188829,0.319604564434437
"bivt",0.005,1000,"0.05",TRUE,0.00294448972707949,-0.00377045218066843,0.351108361590765
