"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.00428786233887858,-0.00320683358898369,0.3201893943542
"bivt",0.005,1000,"0.1",TRUE,0.00382606957374405,-0.00313244449261998,0.3201893943542
"bivt",0.005,1000,"0.01",TRUE,0.00554924298884334,-0.00337302501804586,0.3201893943542
"bivt",0.005,1000,"0.05",TRUE,0.00962938215083541,-0.00466943343202484,0.265935617009026
"bivt",0.005,1000,"0.1",TRUE,0.00786787972537096,-0.0046199356686705,0.265935617009026
"bivt",0.005,1000,"0.01",TRUE,0.0106924149393279,-0.00470734009157759,0.265935617009026
"bivt",0.005,1000,"0.05",TRUE,0.00540719418973992,-0.00362051439401937,0.284346687538358
"bivt",0.005,1000,"0.1",TRUE,0.00462387764088532,-0.00352659993853892,0.284346687538358
"bivt",0.005,1000,"0.01",TRUE,0.00676882167164896,-0.00378975066260778,0.284346687538358
"bivt",0.005,1000,"0.05",TRUE,0.0076424169139518,-0.00480804536816271,0.2225896563125
"bivt",0.005,1000,"0.1",TRUE,0.00697548191735204,-0.00478299568961026,0.2225896563125
"bivt",0.005,1000,"0.01",TRUE,0.0103929156557389,-0.00482313117342893,0.2225896563125
"bivt",0.005,1000,"0.05",TRUE,0.00588055441598407,-0.00394260975784369,0.288306940024452
"bivt",0.005,1000,"0.1",TRUE,0.00559241908039343,-0.00388718261718733,0.288306940024452
"bivt",0.005,1000,"0.01",TRUE,0.00777299382636449,-0.00409301084273507,0.288306940024452
"bivt",0.005,1000,"0.05",TRUE,0.0135420842374105,-0.0024583425182926,0.354376852360649
"bivt",0.005,1000,"0.1",TRUE,0.0124729801465847,-0.00231383357814282,0.354376852360649
"bivt",0.005,1000,"0.01",TRUE,0.014986943348158,-0.00265528935204294,0.354376852360649
"bivt",0.005,1000,"0.05",TRUE,0.00594722794058257,-0.00403209911217922,0.249906294758067
"bivt",0.005,1000,"0.1",TRUE,0.00465758904435957,-0.00393331509781907,0.249906294758067
"bivt",0.005,1000,"0.01",TRUE,0.00775035476016922,-0.00418794991870468,0.249906294758067
"bivt",0.005,1000,"0.05",TRUE,0.00638838390787463,-0.00431990084406973,0.276729162915402
"bivt",0.005,1000,"0.1",TRUE,0.00598834708958849,-0.00425747134282623,0.276729162915402
"bivt",0.005,1000,"0.01",TRUE,0.00952341379832118,-0.00442838405355743,0.276729162915402
"bivt",0.005,1000,"0.05",TRUE,0.00791611287579997,-0.00456850268481248,0.220057276688835
