"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt",0.005,1000,"0.05",TRUE,0.00902499999999986,-0.00380406816654076
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00369250176387437
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00402687662124386
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00304804949206644
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00294920024943393
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00345400793433547
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00321868054760424
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00306802787105946
"bivt",0.005,1000,"0.01",TRUE,0.0100049999999999,-0.00368594134770732
"bivt",0.005,1000,"0.05",TRUE,0.00802499999999986,-0.00332626425841566
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00312109222288487
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00363017019504221
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00362037858702822
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.0033043460636374
"bivt",0.005,1000,"0.01",TRUE,0.0110049999999999,-0.00387127451145817
"bivt",0.005,1000,"0.05",TRUE,0.011,-0.00335011860481584
"bivt",0.005,1000,"0.1",TRUE,0.01,-0.00319314393001842
"bivt",0.005,1000,"0.01",TRUE,0.014,-0.0040611305729871
"bivt",0.005,1000,"0.05",TRUE,0.011,-0.00376739588124629
"bivt",0.005,1000,"0.1",TRUE,0.01,-0.00366470771072973
"bivt",0.005,1000,"0.01",TRUE,0.0130049999999999,-0.00407997070814354
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00388251752323763
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00367520737281526
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.0040367079618769
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00337589162243699
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.003082562315112
"bivt",0.005,1000,"0.01",TRUE,0.0100049999999999,-0.00361572139290114
"bivt",0.005,1000,"0.05",TRUE,0.0100249999999999,-0.00413079408558371
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00410543711248597
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00449964307552889
"bivt",0.005,1000,"0.05",TRUE,0.011,-0.00346954906810824
"bivt",0.005,1000,"0.1",TRUE,0.01,-0.00339299454234555
"bivt",0.005,1000,"0.01",TRUE,0.013,-0.00369089371493119
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00299868180221483
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00291517720482739
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00334440534982372
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00320889710139594
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00299497191496593
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00332364545832049
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00397933074525091
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00387292284868025
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00422412599542243
"bivt",0.005,1000,"0.05",FALSE,0.00902499999999986,-0.00294876965582369
"bivt",0.005,1000,"0.1",FALSE,0.008,-0.00272930555057291
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00325119518362161
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00346612989199699
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00338979863775379
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00365667033580107
"bivt",0.005,1000,"0.05",TRUE,0.011,-0.00354465265256083
"bivt",0.005,1000,"0.1",TRUE,0.01,-0.00345727275119117
"bivt",0.005,1000,"0.01",TRUE,0.013,-0.00373247880887356
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00360216494179931
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00296906554771354
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.0038393998621178
"bivt",0.005,1000,"0.05",FALSE,0.009,-0.0026374299189811
"bivt",0.005,1000,"0.1",FALSE,0.008,-0.00250325055002371
"bivt",0.005,1000,"0.01",FALSE,0.011,-0.00277207860558262
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00315861413289122
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00291244893020979
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00353288585880714
"bivt",0.005,1000,"0.05",TRUE,0.011,-0.00362526070399688
"bivt",0.005,1000,"0.1",TRUE,0.01,-0.00346722328498255
"bivt",0.005,1000,"0.01",TRUE,0.014,-0.00395176068600903
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00334898379996321
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00296525021216491
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00370352392375606
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00317536678240198
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00305757538321461
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00332133209568891
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00347067218261842
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00331434013172766
"bivt",0.005,1000,"0.01",TRUE,0.0100049999999999,-0.00381028646161316
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00318170011151907
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00310700365214001
"bivt",0.005,1000,"0.01",TRUE,0.0100049999999999,-0.0035573341896043
"bivt",0.005,1000,"0.05",FALSE,0.008,-0.00283545257623106
"bivt",0.005,1000,"0.1",FALSE,0.007,-0.00268140980621374
"bivt",0.005,1000,"0.01",FALSE,0.01,-0.00340223841373601
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00389763308433623
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00383373932063267
"bivt",0.005,1000,"0.01",TRUE,0.013,-0.00421736747189953
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00319931400054396
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.0031387318093108
"bivt",0.005,1000,"0.01",TRUE,0.0120049999999999,-0.00363937698517745
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00320885954033053
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00298704411460724
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00341691754197788
"bivt",0.005,1000,"0.05",FALSE,0.009,-0.00338862971111047
"bivt",0.005,1000,"0.1",FALSE,0.008,-0.00309727051357622
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00359759168615363
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00353851211518069
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00327267755788243
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00366029936625439
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00359388310599442
"bivt",0.005,1000,"0.1",TRUE,0.01,-0.00328650547584997
"bivt",0.005,1000,"0.01",TRUE,0.013,-0.00385751140093746
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00377549447046787
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00368370021025593
"bivt",0.005,1000,"0.01",TRUE,0.0130049999999999,-0.00402650806674057
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00339000286699299
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00325420506941456
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00371176216645955
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00360838501422655
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00358672720287081
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.0038295397017302
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00374241586547249
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00322736246948036
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00391285850867418
"bivt",0.005,1000,"0.05",TRUE,0.011,-0.00352107038060449
"bivt",0.005,1000,"0.1",TRUE,0.01,-0.00314139972464698
"bivt",0.005,1000,"0.01",TRUE,0.0130049999999999,-0.00382619120293866
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00346780570003455
"bivt",0.005,1000,"0.1",TRUE,0.01,-0.00341901168854488
"bivt",0.005,1000,"0.01",TRUE,0.013,-0.00373841233623072
"bivt",0.005,1000,"0.05",FALSE,0.009,-0.00289428810341313
"bivt",0.005,1000,"0.1",FALSE,0.008,-0.00258027195993609
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00331265950555568
"bivt",0.005,1000,"0.05",TRUE,0.011,-0.00347068201411761
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00318800554580408
"bivt",0.005,1000,"0.01",TRUE,0.013,-0.00361609818353337
"bivt",0.005,1000,"0.05",FALSE,0.007,-0.00292150529427021
"bivt",0.005,1000,"0.1",FALSE,0.006,-0.00267767947731984
"bivt",0.005,1000,"0.01",TRUE,0.00900499999999988,-0.00330702595897839
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00291105750039683
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00281966828857672
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00340091950617871
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.0035110446662204
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.0034131303247357
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00379352045054808
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00366129159897796
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00365717743949161
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00389596775217477
"bivt",0.005,1000,"0.05",TRUE,0.011,-0.00359174602063452
"bivt",0.005,1000,"0.1",TRUE,0.01,-0.00346342718134503
"bivt",0.005,1000,"0.01",TRUE,0.013,-0.00380696262814122
"bivt",0.005,1000,"0.05",FALSE,0.007,-0.00303491291538822
"bivt",0.005,1000,"0.1",FALSE,0.006,-0.00290596358121421
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00334645506181898
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00340394909507296
