"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.00471792637862956,-0.00250082502311074,0.319631967737097
"bivt",0.005,1000,"0.1",TRUE,0.00414302897889936,-0.00231864648153353,0.319631967737097
"bivt",0.005,1000,"0.01",TRUE,0.00595857752846757,-0.00280865777079214,0.319631967737097
"bivt",0.005,1000,"0.05",TRUE,0.0074098022381389,-0.00248146210817323,0.287730386226339
"bivt",0.005,1000,"0.1",FALSE,0.00705777778086357,-0.00225443086327152,0.287730386226339
"bivt",0.005,1000,"0.01",TRUE,0.00787203522570456,-0.00268862468230312,0.287730386226339
"bivt",0.005,1000,"0.05",FALSE,0.00582867849467722,-0.00279837470194918,0.214341393877691
"bivt",0.005,1000,"0.1",FALSE,0.00521658789925466,-0.00264020988624327,0.214341393877691
"bivt",0.005,1000,"0.01",FALSE,0.00711200147238254,-0.00308099411282417,0.214341393877691
"bivt",0.005,1000,"0.05",TRUE,0.00455864576930787,-0.00253741997194349,0.338583413994328
"bivt",0.005,1000,"0.1",TRUE,0.00366169489604847,-0.00240577001072156,0.338583413994328
"bivt",0.005,1000,"0.01",TRUE,0.00638538022120927,-0.00282354144911148,0.338583413994328
"bivt",0.005,1000,"0.05",TRUE,0.00435784595032291,-0.00221064139026904,0.33497289746355
"bivt",0.005,1000,"0.1",TRUE,0.003563892164359,-0.00199856514833586,0.33497289746355
"bivt",0.005,1000,"0.01",TRUE,0.00654814824762161,-0.00248740145764322,0.33497289746355
"bivt",0.005,1000,"0.05",TRUE,0.00354547338597306,-0.00230773628437881,0.321824089704272
"bivt",0.005,1000,"0.1",TRUE,0.00304507491857686,-0.00216817149047492,0.321824089704272
"bivt",0.005,1000,"0.01",TRUE,0.00473326515413608,-0.00280407432489364,0.321824089704272
"bivt",0.005,1000,"0.05",TRUE,0.00532960870583607,-0.00254914423833093,0.317201717697338
"bivt",0.005,1000,"0.1",TRUE,0.00426080522470196,-0.00233293686297576,0.317201717697338
"bivt",0.005,1000,"0.01",TRUE,0.00628272989129833,-0.00277201561511377,0.317201717697338
"bivt",0.005,1000,"0.05",TRUE,0.00382041509727486,-0.00219777613187394,0.331943581008141
"bivt",0.005,1000,"0.1",TRUE,0.00309126061043213,-0.00199127215840178,0.331943581008141
"bivt",0.005,1000,"0.01",TRUE,0.00530781214771971,-0.00234029509669882,0.331943581008141
"bivt",0.005,1000,"0.05",TRUE,0.00347441310217911,-0.00230434470114246,0.362641237142967
"bivt",0.005,1000,"0.1",TRUE,0.00301054897393357,-0.0021722373816075,0.362641237142967
"bivt",0.005,1000,"0.01",TRUE,0.00476485793994387,-0.00269523603941247,0.362641237142967
"bivt",0.005,1000,"0.05",TRUE,0.00306000265670297,-0.00244947213853538,0.364414425301497
"bivt",0.005,1000,"0.1",TRUE,0.00266183456135824,-0.00227654403024071,0.364414425301497
"bivt",0.005,1000,"0.01",TRUE,0.00398767056570021,-0.00258648050340933,0.364414425301497
"bivt",0.005,1000,"0.05",TRUE,0.00729155466044617,-0.00281822919166193,0.254766241313344
"bivt",0.005,1000,"0.1",TRUE,0.00681757231965317,-0.00269007683409529,0.254766241313344
"bivt",0.005,1000,"0.01",TRUE,0.0100003063076104,-0.0031237727171414,0.254766241313344
"bivt",0.005,1000,"0.05",TRUE,0.00444054658505181,-0.00243074523308506,0.326392045456615
"bivt",0.005,1000,"0.1",TRUE,0.00358786426340611,-0.00229460221956221,0.326392045456615
"bivt",0.005,1000,"0.01",TRUE,0.00519575293201816,-0.00266503944027829,0.326392045456615
"bivt",0.005,1000,"0.05",TRUE,0.00574274142156199,-0.00297700864098569,0.241197706824756
"bivt",0.005,1000,"0.1",TRUE,0.0046662141336925,-0.00270499151881403,0.241197706824756
"bivt",0.005,1000,"0.01",TRUE,0.00803804109452137,-0.00329761323850337,0.241197706824756
"bivt",0.005,1000,"0.05",TRUE,0.00532932839050991,-0.00292618438148402,0.313430563212665
"bivt",0.005,1000,"0.1",TRUE,0.00445553481828763,-0.00251120351115986,0.313430563212665
"bivt",0.005,1000,"0.01",TRUE,0.00732653553579555,-0.00312466186058381,0.313430563212665
"bivt",0.005,1000,"0.05",FALSE,0.0030244394085846,-0.00203756579849981,0.35638150845208
"bivt",0.005,1000,"0.1",FALSE,0.00256574724010735,-0.00191827620324716,0.35638150845208
