"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.00285366530778296
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00273232873640705
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00331511030515431
"bivt",0.005,3000,"0.05",TRUE,0.017,-0.0017636882464354
"bivt",0.005,3000,"0.1",FALSE,0.016,-0.000988367835826891
"bivt",0.005,3000,"0.01",TRUE,0.02,-0.00203697456976381
"bivt",0.005,3000,"0.05",FALSE,0.00273973402431206,-0.0041137254123937
"bivt",0.005,3000,"0.1",FALSE,0.00226924525879295,-0.00409566994929062
"bivt",0.005,3000,"0.01",FALSE,0.00449962864575775,-0.00421714773917261
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.00271168735470561
"bivt",0.005,3000,"0.1",FALSE,0.009,-0.00223822189447672
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00311570604115376
"bivt",0.005,3000,"0.05",FALSE,0.000186588814745818,-0.00395327339984635
"bivt",0.005,3000,"0.1",FALSE,-1.10025353764623e-05,-0.003908753787329
"bivt",0.005,3000,"0.01",TRUE,0.00437441652668672,-0.00408515612205011
"bivt",0.005,3000,"0.05",FALSE,0.018,-0.00206534263826736
"bivt",0.005,3000,"0.1",FALSE,0.017,-0.00195351581742174
"bivt",0.005,3000,"0.01",FALSE,0.02,-0.00236999248905078
"bivt",0.005,3000,"0.05",TRUE,0.013,-0.00284358810325381
"bivt",0.005,3000,"0.1",TRUE,0.012,-0.00272237070260398
"bivt",0.005,3000,"0.01",TRUE,0.016,-0.0034979509734697
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00314805998687935
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00289294117976136
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00349432260299233
"bivt",0.005,3000,"0.05",TRUE,0.014,-0.00158175027332971
"bivt",0.005,3000,"0.1",TRUE,0.013,-0.00133627866436993
"bivt",0.005,3000,"0.01",TRUE,0.016,-0.00196580140105129
"bivt",0.005,3000,"0.05",TRUE,0.00228747175062216,-0.00350296718634877
"bivt",0.005,3000,"0.1",FALSE,0.0013538463302133,-0.00337069494090091
"bivt",0.005,3000,"0.01",TRUE,0.00368317799578392,-0.00373094499332679
"bivt",0.005,3000,"0.05",TRUE,0.013,-0.00221125043235807
"bivt",0.005,3000,"0.1",TRUE,0.012,-0.00186603042041853
"bivt",0.005,3000,"0.01",TRUE,0.015,-0.00254487379955866
"bivt",0.005,3000,"0.05",FALSE,0.011,-0.00239072750426986
"bivt",0.005,3000,"0.1",FALSE,0.01,-0.00212512894596799
"bivt",0.005,3000,"0.01",FALSE,0.013,-0.00252232491472746
"bivt",0.005,3000,"0.05",TRUE,0.011,-0.00252582599998943
"bivt",0.005,3000,"0.1",TRUE,0.01,-0.00223645691057148
"bivt",0.005,3000,"0.01",TRUE,0.013,-0.00284921262947687
"bivt",0.005,3000,"0.05",TRUE,0.015,-0.00264305838683567
"bivt",0.005,3000,"0.1",TRUE,0.014,-0.00243857714340768
"bivt",0.005,3000,"0.01",TRUE,0.018,-0.00285756235183675
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.00322035653194449
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.0030771250251971
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.00337401194349366
