"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00330363941167687
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00323300199035649
"bivt",0.005,3000,"0.01",TRUE,0.01,-0.00342342917346795
"bivt",0.005,3000,"0.05",TRUE,0.00338933999884631,-0.00349669411250378
"bivt",0.005,3000,"0.1",TRUE,0.00319057456560334,-0.00346818219945505
"bivt",0.005,3000,"0.01",TRUE,0.006,-0.00376042460645767
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00264130867472437
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.0025357809424236
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00296159314759164
"bivt",0.005,3000,"0.05",TRUE,0.012,-0.002114516914162
"bivt",0.005,3000,"0.1",TRUE,0.012,-0.00177501403406755
"bivt",0.005,3000,"0.01",TRUE,0.015,-0.00239870019919643
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.0030261940243695
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00281175490719959
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00343131143016707
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.0033335237006175
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00316692465525286
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00353679563414262
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00281347663675609
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00263571594090176
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00302050096530888
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.00190603982894933
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00185357365737708
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.00224053436519345
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.0031399086694876
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00297680237817488
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.00343259829085745
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.0033219964231521
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00324061730167707
"bivt",0.005,3000,"0.01",TRUE,0.009,-0.00347822376013255
"bivt",0.005,3000,"0.05",TRUE,0.015,-0.0023669728830443
"bivt",0.005,3000,"0.1",FALSE,0.013,-0.00217836400304891
"bivt",0.005,3000,"0.01",TRUE,0.017,-0.00271253129532158
"bivt",0.005,3000,"0.05",FALSE,0.000170172176215249,-0.00405057770223955
"bivt",0.005,3000,"0.1",FALSE,-0.000707845248148365,-0.00401496676450284
"bivt",0.005,3000,"0.01",FALSE,0.000800396099032191,-0.00414651329698254
"bivt",0.005,3000,"0.05",TRUE,0.00482452586819474,-0.00335174509943646
"bivt",0.005,3000,"0.1",TRUE,0.00475850151090741,-0.00320255506459847
"bivt",0.005,3000,"0.01",TRUE,0.007,-0.00357410208826708
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00305838292744201
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00299006424086361
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00331680578536898
"bivt",0.005,3000,"0.05",TRUE,0.00319422296425599,-0.00366448198232494
"bivt",0.005,3000,"0.1",TRUE,0.00275688958383894,-0.00355620133332185
"bivt",0.005,3000,"0.01",TRUE,0.00421715182785019,-0.00379681471888295
"bivt",0.005,3000,"0.05",TRUE,0.013,-0.00278212545009474
