"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00247736448423911
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00243414664183052
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00275881197443411
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00290317723319021
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00283021067190589
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00311572828657989
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00264626204651463
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00249285965800368
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00295380780765257
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00307303001545428
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00280054051842407
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00346055898252592
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00335308230356648
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00296882975204893
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00354025604284434
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00331280796200546
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00326458426912605
"bivt",0.005,1000,"0.01",TRUE,0.0120049999999999,-0.00338847990034567
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00275670822512277
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00264680239844999
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00298312966671201
"bivt",0.005,1000,"0.05",TRUE,0.00496874257173856,-0.00255902432419694
"bivt",0.005,1000,"0.1",TRUE,0.00429743800775914,-0.00234788266529598
"bivt",0.005,1000,"0.01",TRUE,0.007,-0.00287464896410138
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00294716013711718
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.0027927170053994
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00317693886425692
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.0027020415585539
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00252469480834471
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00289228592685245
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.0026989193514764
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00257525403536132
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.0029556568183872
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.0034065773596741
"bivt",0.005,1000,"0.1",TRUE,0.00487389212185121,-0.0031839808225465
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00356885751378422
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00282337706760462
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00268720623231159
"bivt",0.005,1000,"0.01",TRUE,0.00900499999999988,-0.00313115940903207
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00278948248632123
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00271251976085708
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00313996844888207
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00315790183350633
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00300981672990393
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00327256392192723
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00238796727409387
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00230528281197298
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00283124734179126
"bivt",0.005,1000,"0.05",FALSE,0.008,-0.00343766431528234
