"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00290908191862054
"bivt",0.005,1000,"0.1",TRUE,0.00477169284980179,-0.00279727110707115
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00310422057078233
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00288105699886441
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00274900355426939
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00311028213740475
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00281505884846745
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00267337264021911
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00303440357587524
"bivt",0.005,1000,"0.05",FALSE,0.006,-0.00280929715265344
"bivt",0.005,1000,"0.1",FALSE,0.006,-0.00261872965595996
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00305407656165701
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00279748189746172
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00259287919783477
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00301961691926636
"bivt",0.005,1000,"0.05",FALSE,0.007,-0.0029216048276402
"bivt",0.005,1000,"0.1",FALSE,0.006,-0.00272159994573897
"bivt",0.005,1000,"0.01",FALSE,0.009,-0.00318180556581688
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00280662958600914
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00259287919783477
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00315003656785117
"bivt",0.005,1000,"0.05",FALSE,0.009,-0.00282656890242826
"bivt",0.005,1000,"0.1",FALSE,0.008,-0.00271556629274635
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00307964584620608
"bivt",0.005,1000,"0.05",FALSE,0.007,-0.0028195557841927
"bivt",0.005,1000,"0.1",FALSE,0.006,-0.00272027656023022
"bivt",0.005,1000,"0.01",FALSE,0.009,-0.00307690970279667
"bivt",0.005,1000,"0.05",FALSE,0.006,-0.00282656890242826
"bivt",0.005,1000,"0.1",FALSE,0.00464295663478503,-0.00259287919783477
"bivt",0.005,1000,"0.01",FALSE,0.008,-0.00319312518754417
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00294381383806474
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00272371812475722
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00320479532756405
"bivt",0.005,1000,"0.05",FALSE,0.006,-0.00314591487182082
"bivt",0.005,1000,"0.1",FALSE,0.00375821985881196,-0.002940388837229
"bivt",0.005,1000,"0.01",FALSE,0.007,-0.00332522677976852
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00282656890242826
