"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00372445846967319
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00359527263236119
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00393563440666436
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00387518905022563
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00352388266032604
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00411757600224599
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00353285106484395
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00339832194936327
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00377439090470404
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00359484479354984
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00348787482984048
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.0039491164811424
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00358337629059835
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00336104693696368
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00396771151690445
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00348963553809327
"bivt",0.005,1000,"0.1",TRUE,0.00451342650295391,-0.00328622260145056
"bivt",0.005,1000,"0.01",TRUE,0.007,-0.00373484275349007
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00370140207083554
"bivt",0.005,1000,"0.1",TRUE,0.00435744361808131,-0.00350876905651126
"bivt",0.005,1000,"0.01",TRUE,0.007,-0.00408464432124527
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00369985113218144
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00363766978721074
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00384379762125364
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00383675714209556
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00375696823579114
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00406886698554922
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00344547087901915
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00343921145013384
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00374195309806532
"bivt",0.005,1000,"0.05",TRUE,0.011,-0.0035934734877322
"bivt",0.005,1000,"0.1",TRUE,0.01,-0.00345411126925469
"bivt",0.005,1000,"0.01",TRUE,0.014,-0.00382853957673205
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00390445086455536
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00379710909227503
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.0040871256051998
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.0034602026227185
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00332079963862736
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00383481771826721
"bivt",0.005,1000,"0.05",FALSE,0.007,-0.00371668848904698
"bivt",0.005,1000,"0.1",FALSE,0.007,-0.00348639826449275
"bivt",0.005,1000,"0.01",FALSE,0.009,-0.00392427481316229
"bivt",0.005,1000,"0.05",TRUE,0.011,-0.0039757363333744
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00389497902637824
"bivt",0.005,1000,"0.01",TRUE,0.013,-0.00419673127008787
"bivt",0.005,1000,"0.05",TRUE,0.00312291122096168,-0.00386290014465727
"bivt",0.005,1000,"0.1",TRUE,0.00311120291542988,-0.00376704830539483
"bivt",0.005,1000,"0.01",TRUE,0.007,-0.00404625115906821
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00382658158106227
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00377545963626211
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00398739513682764
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00408276985284676
"bivt",0.005,1000,"0.1",TRUE,0.0046598393885467,-0.0039623331980714
"bivt",0.005,1000,"0.01",TRUE,0.00800499999999988,-0.00421332150864116
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00408982479756678
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00394519486710594
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00433871405020362
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00377641675453235
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.0034029982027617
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.0040542469384225
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00379286857503325
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00364933330285427
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00399757785986509
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00391628799907405
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00384363860739409
"bivt",0.005,1000,"0.01",TRUE,0.0100049999999999,-0.00418880436262648
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00398256721963061
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.0037717453043644
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00419849145088102
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00385797905891672
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00368725431349268
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00410486105863137
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00377215060382315
