"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt",0.005,1000,"0.05",TRUE,0.0016595693805579,-0.00372946344572037
"bivt",0.005,1000,"0.1",TRUE,0.00108377234857085,-0.00356774764618658
"bivt",0.005,1000,"0.01",TRUE,0.00290950087500373,-0.0038771414194038
"bivt",0.005,1000,"0.05",TRUE,0.000964218259833092,-0.00373139218665921
"bivt",0.005,1000,"0.1",TRUE,0.000317788245190834,-0.00360921696586274
"bivt",0.005,1000,"0.01",TRUE,0.00177271021091294,-0.0039105055670596
"bivt",0.005,1000,"0.05",TRUE,0.00148284109816475,-0.00393156562621605
"bivt",0.005,1000,"0.1",TRUE,0.000409946368525951,-0.00388566331778911
"bivt",0.005,1000,"0.01",TRUE,0.00204278413156639,-0.00410618518330164
"bivt",0.005,1000,"0.05",TRUE,0.00270085273834692,-0.00402584695179982
"bivt",0.005,1000,"0.1",TRUE,0.0023730401841999,-0.00392202336648445
"bivt",0.005,1000,"0.01",TRUE,0.0064929644379373,-0.00414221821404007
"bivt",0.005,1000,"0.05",TRUE,0.00223722061166683,-0.00378273870127681
"bivt",0.005,1000,"0.1",TRUE,0.00140441976246668,-0.00369221522088956
"bivt",0.005,1000,"0.01",TRUE,0.00469304366452942,-0.00394724776289346
"bivt",0.005,1000,"0.05",TRUE,0.000101839783294228,-0.00388587736434359
"bivt",0.005,1000,"0.1",TRUE,-0.000330799694744055,-0.00377652647649429
"bivt",0.005,1000,"0.01",TRUE,0.000848640129103409,-0.00404100443925846
"bivt",0.005,1000,"0.05",TRUE,0.00268101911760955,-0.00397163155372462
"bivt",0.005,1000,"0.1",TRUE,0.00127605905788144,-0.00388465763045057
"bivt",0.005,1000,"0.01",TRUE,0.00555992373305963,-0.0041654164244848
"bivt",0.005,1000,"0.05",TRUE,0.00092468025260759,-0.00376761955807794
"bivt",0.005,1000,"0.1",TRUE,0.000335369461876341,-0.00368616398300267
"bivt",0.005,1000,"0.01",TRUE,0.00238996111815458,-0.00389189960599586
"bivt",0.005,1000,"0.05",TRUE,0.00348524073606783,-0.00397215781959568
"bivt",0.005,1000,"0.1",TRUE,0.0028239383701467,-0.0039002886653755
"bivt",0.005,1000,"0.01",TRUE,0.00534619760107123,-0.00416935484546934
"bivt",0.005,1000,"0.05",TRUE,0.00147899213316654,-0.00377716624603906
"bivt",0.005,1000,"0.1",TRUE,0.000886389217886823,-0.00368082459482404
"bivt",0.005,1000,"0.01",TRUE,0.00355266832339809,-0.00411442506410004
"bivt",0.005,1000,"0.05",TRUE,0.00115212354118658,-0.00378753570431987
"bivt",0.005,1000,"0.1",TRUE,0.000799159433945942,-0.0036212288832384
"bivt",0.005,1000,"0.01",TRUE,0.00284917296350104,-0.0039759053977783
"bivt",0.005,1000,"0.05",TRUE,0.00120866765888657,-0.00378092984060741
"bivt",0.005,1000,"0.1",TRUE,0.000738468428479555,-0.0037079283642459
"bivt",0.005,1000,"0.01",TRUE,0.00196459121367697,-0.00401951388746878
"bivt",0.005,1000,"0.05",TRUE,0.00188982869408833,-0.00394113985342475
"bivt",0.005,1000,"0.1",TRUE,0.00109803260414742,-0.00392242821432816
"bivt",0.005,1000,"0.01",TRUE,0.00299068399127439,-0.00406426732600435
"bivt",0.005,1000,"0.05",TRUE,0.000383208431410083,-0.00380829726491484
"bivt",0.005,1000,"0.1",TRUE,-0.00019007103630116,-0.00370956188795723
"bivt",0.005,1000,"0.01",TRUE,0.00125145773256887,-0.00406277340885701
"bivt",0.005,1000,"0.05",TRUE,0.00111287181467124,-0.00385808504480131
"bivt",0.005,1000,"0.1",TRUE,0.000941721449275216,-0.00377620638403765
"bivt",0.005,1000,"0.01",TRUE,0.0027597974880857,-0.00397815447149238
"bivt",0.005,1000,"0.05",TRUE,0.00465899862034472,-0.00402345226751019
"bivt",0.005,1000,"0.1",TRUE,0.00377238265131887,-0.00389555851287712
"bivt",0.005,1000,"0.01",TRUE,0.0053735827674743,-0.00416518411409566
"bivt",0.005,1000,"0.05",TRUE,0.00292480054141361,-0.00395892810842032
"bivt",0.005,1000,"0.1",TRUE,0.00180489238891794,-0.00387004062928257
"bivt",0.005,1000,"0.01",TRUE,0.00521398919729624,-0.00407991373575632
"bivt",0.005,1000,"0.05",TRUE,0.00197699607833704,-0.00377799287318998
"bivt",0.005,1000,"0.1",TRUE,0.0013760529191747,-0.00368176929366498
"bivt",0.005,1000,"0.01",TRUE,0.00354036035949707,-0.00400113434494957
"bivt",0.005,1000,"0.05",TRUE,0.000475761272260816,-0.00386244890654481
"bivt",0.005,1000,"0.1",TRUE,-0.000105143821079668,-0.00363851923057189
"bivt",0.005,1000,"0.01",TRUE,0.00148653009223799,-0.00394960067056379
"bivt",0.005,1000,"0.05",TRUE,0.00238929919213305,-0.00392141985901381
"bivt",0.005,1000,"0.1",TRUE,0.00188585306037558,-0.00379426266786329
"bivt",0.005,1000,"0.01",TRUE,0.00468268377160693,-0.00405123771550814
"bivt",0.005,1000,"0.05",TRUE,0.000625388609434268,-0.00375169429827101
"bivt",0.005,1000,"0.1",TRUE,0.000187742683075533,-0.00366350555690975
"bivt",0.005,1000,"0.01",TRUE,0.00286449464939152,-0.00391790377730286
"bivt",0.005,1000,"0.05",TRUE,0.00334247449899122,-0.00418025285523506
"bivt",0.005,1000,"0.1",TRUE,0.00248356845068128,-0.00404033605578713
"bivt",0.005,1000,"0.01",TRUE,0.00553804691883487,-0.00424753580487957
"bivt",0.005,1000,"0.05",TRUE,0.00185174780917966,-0.00368556758263809
"bivt",0.005,1000,"0.1",TRUE,0.000978073935280565,-0.00351276466488785
"bivt",0.005,1000,"0.01",TRUE,0.00286377077865253,-0.00386041044780943
"bivt",0.005,1000,"0.05",TRUE,0.000779235992826714,-0.00377686011970826
"bivt",0.005,1000,"0.1",TRUE,0.000297921570452089,-0.00365818570760393
"bivt",0.005,1000,"0.01",TRUE,0.00169624903366545,-0.00392819930900422
"bivt",0.005,1000,"0.05",TRUE,0.000279441501307192,-0.00379885566460802
"bivt",0.005,1000,"0.1",TRUE,2.84697709961217e-05,-0.00362502008750522
"bivt",0.005,1000,"0.01",TRUE,0.00133434343378625,-0.00414783299538461
"bivt",0.005,1000,"0.05",TRUE,0.00132985168670444,-0.00376057390594197
"bivt",0.005,1000,"0.1",TRUE,0.000790093523894943,-0.00364004599621609
"bivt",0.005,1000,"0.01",TRUE,0.00188720659636928,-0.00394044701359317
"bivt",0.005,1000,"0.05",TRUE,0.00112742793244483,-0.00388417110062909
"bivt",0.005,1000,"0.1",TRUE,0.000469190735807601,-0.00380982130938267
"bivt",0.005,1000,"0.01",TRUE,0.00324222012827583,-0.00399174014645993
"bivt",0.005,1000,"0.05",TRUE,0.000557941606876377,-0.00381661553923707
"bivt",0.005,1000,"0.1",TRUE,2.64703416355148e-05,-0.00373360710307238
"bivt",0.005,1000,"0.01",TRUE,0.00153582732274312,-0.00398489154033424
"bivt",0.005,1000,"0.05",TRUE,0.00206937940982907,-0.00411344929975189
"bivt",0.005,1000,"0.1",TRUE,0.00156607395261403,-0.00405326401875502
"bivt",0.005,1000,"0.01",TRUE,0.00435128406274336,-0.00422442943334286
"bivt",0.005,1000,"0.05",TRUE,0.000848205859452393,-0.00388241862365142
"bivt",0.005,1000,"0.1",TRUE,0.000232213518874385,-0.00377943045524733
"bivt",0.005,1000,"0.01",TRUE,0.00168366083233919,-0.00407732912657239
"bivt",0.005,1000,"0.05",TRUE,0.00115817852537374,-0.00385929822867851
"bivt",0.005,1000,"0.1",TRUE,0.000408044032513009,-0.00368473902449339
"bivt",0.005,1000,"0.01",TRUE,0.00204151782958605,-0.0041147446334054
"bivt",0.005,1000,"0.05",TRUE,0.000737744768774383,-0.00370543518586866
"bivt",0.005,1000,"0.1",TRUE,0.000146547170151066,-0.00360592877210268
"bivt",0.005,1000,"0.01",TRUE,0.00229289975645665,-0.00383944888773244
"bivt",0.005,1000,"0.05",TRUE,0.00330054503035181,-0.00398185895569755
"bivt",0.005,1000,"0.1",TRUE,0.00232825174556688,-0.0038928712487779
"bivt",0.005,1000,"0.01",TRUE,0.0050316947067062,-0.00416832628330666
"bivt",0.005,1000,"0.05",TRUE,0.0030978180910431,-0.00419303896508035
"bivt",0.005,1000,"0.1",TRUE,0.00248712202663192,-0.00412491285489887
"bivt",0.005,1000,"0.01",TRUE,0.0041582859886582,-0.00432752836326613
"bivt",0.005,1000,"0.05",TRUE,0.00074208151127392,-0.00372079229221472
"bivt",0.005,1000,"0.1",TRUE,0.000308161293457285,-0.00362093976824005
"bivt",0.005,1000,"0.01",TRUE,0.00167425644095174,-0.00390147466050961
"bivt",0.005,1000,"0.05",TRUE,0.00144441967513263,-0.00369192987754875
"bivt",0.005,1000,"0.1",TRUE,0.00067379802346406,-0.00361412419160095
"bivt",0.005,1000,"0.01",TRUE,0.00190558560989531,-0.00396544279066394
"bivt",0.005,1000,"0.05",TRUE,0.00119514398346407,-0.00388020634979025
"bivt",0.005,1000,"0.1",TRUE,0.000739977597388034,-0.00372475066574885
"bivt",0.005,1000,"0.01",TRUE,0.00202079511816241,-0.00408313886796222
"bivt",0.005,1000,"0.05",TRUE,0.000957625122985936,-0.0040195352398212
"bivt",0.005,1000,"0.1",TRUE,-1.94648064071748e-05,-0.00387699317605327
"bivt",0.005,1000,"0.01",TRUE,0.00300264971049261,-0.00420378501226369
"bivt",0.005,1000,"0.05",TRUE,0.00106753391538189,-0.00365856845320293
"bivt",0.005,1000,"0.1",TRUE,0.000351097263429528,-0.00356327070460436
"bivt",0.005,1000,"0.01",TRUE,0.00181623702309597,-0.00382813544191188
"bivt",0.005,1000,"0.05",TRUE,0.00287648316362638,-0.00383565424902039
"bivt",0.005,1000,"0.1",TRUE,0.00208176495427057,-0.00373399230034417
"bivt",0.005,1000,"0.01",TRUE,0.00535881801767449,-0.00402184405998637
"bivt",0.005,1000,"0.05",TRUE,0.00102651724222164,-0.00398603535675667
"bivt",0.005,1000,"0.1",TRUE,0.000539233617712182,-0.00382205615116939
"bivt",0.005,1000,"0.01",TRUE,0.00213065716762636,-0.00426036101376846
"bivt",0.005,1000,"0.05",TRUE,0.00139197266986092,-0.00398410486265801
"bivt",0.005,1000,"0.1",TRUE,0.000910891466452172,-0.00395698906842273
"bivt",0.005,1000,"0.01",TRUE,0.00202443139128868,-0.00413534783902391
"bivt",0.005,1000,"0.05",TRUE,0.00184865957565831,-0.00395654288600962
"bivt",0.005,1000,"0.1",TRUE,0.00107659907401105,-0.00380822571903444
"bivt",0.005,1000,"0.01",TRUE,0.00501035062837524,-0.00410820407397304
"bivt",0.005,1000,"0.05",TRUE,0.000423343870192731,-0.00397621282558143
"bivt",0.005,1000,"0.1",TRUE,-0.000138012023229721,-0.00392225879518074
"bivt",0.005,1000,"0.01",TRUE,0.0013169177507765,-0.00416101602541751
"bivt",0.005,1000,"0.05",TRUE,0.00274656955397192,-0.00396425221364333
"bivt",0.005,1000,"0.1",TRUE,0.00190115358785906,-0.00389360797065496
"bivt",0.005,1000,"0.01",TRUE,0.00361904757176127,-0.00405323334694742
"bivt",0.005,1000,"0.05",TRUE,0.00254401401052661,-0.00378140614855366
"bivt",0.005,1000,"0.1",TRUE,0.00156997728701837,-0.00365902598797953
"bivt",0.005,1000,"0.01",TRUE,0.00423057500173604,-0.0039111791115732
"bivt",0.005,1000,"0.05",TRUE,0.00386821563178761,-0.00391106236037733
"bivt",0.005,1000,"0.1",TRUE,0.00155392842742799,-0.00381031138011432
"bivt",0.005,1000,"0.01",TRUE,0.00607103756425368,-0.00409545483642917
"bivt",0.005,1000,"0.05",TRUE,0.000397485033986563,-0.00400370759214941
"bivt",0.005,1000,"0.1",TRUE,8.14618763975818e-05,-0.00387896005781395
"bivt",0.005,1000,"0.01",TRUE,0.00149946155407787,-0.00430315369700911
"bivt",0.005,1000,"0.05",TRUE,0.000669890716804745,-0.00383915061676671
