"dist","n","theta","true_bias","somrv_bias_correction"
"bivt",1000,0,-0.57338723432097,-0.580397374875289
"bivt",1000,0.0320570678937734,-0.57577524626345,-0.582452247303727
"bivt",1000,0.0641141357875468,-0.579107602884941,-0.586259763999982
"bivt",1000,0.0961712036813202,-0.583474504969465,-0.590113230920838
"bivt",1000,0.128228271575094,-0.587808706277518,-0.595367888921779
"bivt",1000,0.160285339468867,-0.592852859154616,-0.60147917175279
"bivt",1000,0.19234240736264,-0.598523922600371,-0.607062317950278
"bivt",1000,0.224399475256414,-0.60540878091964,-0.614595941296371
"bivt",1000,0.256456543150187,-0.613148062917902,-0.622559841089186
"bivt",1000,0.288513611043961,-0.621510136394322,-0.630214847641347
"bivt",1000,0.320570678937734,-0.629852309055738,-0.639589950858181
"bivt",1000,0.352627746831507,-0.63863455223222,-0.647349635280144
"bivt",1000,0.384684814725281,-0.648348022657023,-0.659831319860736
"bivt",1000,0.416741882619054,-0.660564771224116,-0.670198082392656
"bivt",1000,0.448798950512828,-0.671966783254155,-0.6830285146121
"bivt",1000,0.480856018406601,-0.683041294366198,-0.694860675637303
"bivt",1000,0.512913086300374,-0.696476702508358,-0.706762448190817
"bivt",1000,0.544970154194148,-0.70885810073599,-0.718945282106153
"bivt",1000,0.577027222087921,-0.720734835806182,-0.728710601558477
"bivt",1000,0.609084289981694,-0.731515651435917,-0.739353680083242
"bivt",1000,0.641141357875468,-0.741451168536679,-0.748943475048503
"bivt",1000,0.673198425769241,-0.750378838579432,-0.758349864393028
"bivt",1000,0.705255493663015,-0.756859628781537,-0.762760247521339
"bivt",1000,0.737312561556788,-0.761331543155596,-0.76992428805152
"bivt",1000,0.769369629450562,-0.764458859811829,-0.773262564267744
"bivt",1000,0.801426697344335,-0.766832724539403,-0.772973581501603
"bivt",1000,0.833483765238108,-0.763879828931551,-0.773124094847816
"bivt",1000,0.865540833131882,-0.759328171224878,-0.768816534071867
"bivt",1000,0.897597901025655,-0.751848682213108,-0.762166194746803
"bivt",1000,0.929654968919429,-0.741951405010028,-0.755143230913378
"bivt",1000,0.961712036813202,-0.732949740845671,-0.745659906534329
"bivt",1000,0.993769104706975,-0.721615933620768,-0.734409419378171
"bivt",1000,1.02582617260075,-0.710661025267943,-0.72352885676043
"bivt",1000,1.05788324049452,-0.698069958713632,-0.712474910913156
"bivt",1000,1.0899403083883,-0.686109189809935,-0.699120700728664
"bivt",1000,1.12199737628207,-0.673091165068907,-0.685610714103157
"bivt",1000,1.15405444417584,-0.661365040529773,-0.674517515183278
"bivt",1000,1.18611151206962,-0.651552256159316,-0.664578754006052
"bivt",1000,1.21816857996339,-0.640740451231445,-0.652647440538692
"bivt",1000,1.25022564785716,-0.63153751035461,-0.643797150210321
"bivt",1000,1.28228271575094,-0.621992251121927,-0.635061342960476
"bivt",1000,1.31433978364471,-0.613237245788344,-0.626212796690815
"bivt",1000,1.34639685153848,-0.606228449486741,-0.618603028380904
"bivt",1000,1.37845391943226,-0.599574412153533,-0.612261560288723
"bivt",1000,1.41051098732603,-0.593727696955254,-0.605437800926037
"bivt",1000,1.4425680552198,-0.588647709231711,-0.599169725767965
"bivt",1000,1.47462512311358,-0.583605563638982,-0.595036833018321
"bivt",1000,1.50668219100735,-0.579038311871016,-0.590891418281966
"bivt",1000,1.53873925890112,-0.576419569058029,-0.587742168811292
"bivt",1000,1.5707963267949,-0.573775955576465,-0.585219605758943
"bivt",5000,0,-0.678542454995371,-0.675884432943158
"bivt",5000,0.0320570678937734,-0.680561196453519,-0.679556718786218
"bivt",5000,0.0641141357875468,-0.683279445683525,-0.683403520990961
"bivt",5000,0.0961712036813202,-0.687466519590766,-0.687963772070856
"bivt",5000,0.128228271575094,-0.692164195963169,-0.692685793850809
"bivt",5000,0.160285339468867,-0.698296266833131,-0.69923371060406
"bivt",5000,0.19234240736264,-0.703975143811276,-0.705394806358533
"bivt",5000,0.224399475256414,-0.712548296129163,-0.711756845924807
"bivt",5000,0.256456543150187,-0.721498534939163,-0.72165838629762
"bivt",5000,0.288513611043961,-0.730869957089209,-0.731686393530666
"bivt",5000,0.320570678937734,-0.740514705734229,-0.741021015700556
"bivt",5000,0.352627746831507,-0.751870987421232,-0.752297357976831
"bivt",5000,0.384684814725281,-0.762616349813079,-0.765286539480769
"bivt",5000,0.416741882619054,-0.7772330322574,-0.780203299687451
"bivt",5000,0.448798950512828,-0.790207854894017,-0.793058618636047
"bivt",5000,0.480856018406601,-0.804906492036682,-0.805020648806224
"bivt",5000,0.512913086300374,-0.819753618102838,-0.816954880762761
"bivt",5000,0.544970154194148,-0.833073716459402,-0.829188482796736
"bivt",5000,0.577027222087921,-0.848160474227143,-0.84386378226093
"bivt",5000,0.609084289981695,-0.862526139073787,-0.856982729012631
"bivt",5000,0.641141357875468,-0.875238710222907,-0.872148171347902
"bivt",5000,0.673198425769241,-0.886289369418813,-0.884936686416826
"bivt",5000,0.705255493663015,-0.895491443458416,-0.895563498798992
"bivt",5000,0.737312561556788,-0.901753832728859,-0.900856944614369
"bivt",5000,0.769369629450562,-0.905481054056261,-0.904738446944338
