"dist","p","n","alpha","is_covered","c_estimate"
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.0047134252897368
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",FALSE,0.00426039536468984
"bivt",0.005,1000,"0.1",FALSE,0.00393669789780333
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.008
"bivt",0.005,1000,"0.1",TRUE,0.007
"bivt",0.005,1000,"0.01",TRUE,0.01
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00410084252062671
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",FALSE,0.00408190480387141
"bivt",0.005,1000,"0.1",FALSE,0.00356052899287894
"bivt",0.005,1000,"0.01",FALSE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00498717583357082
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",FALSE,0.00436323970548132
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.00450124383000482
"bivt",0.005,1000,"0.1",TRUE,0.00449384266406072
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",FALSE,0.0038469609008883
"bivt",0.005,1000,"0.1",FALSE,0.00370756523529388
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.00426039536468985
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.00477733642042663
"bivt",0.005,1000,"0.1",TRUE,0.00376010069293593
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00411099691675232
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.008
"bivt",0.005,1000,"0.1",TRUE,0.007
"bivt",0.005,1000,"0.01",TRUE,0.01
"bivt",0.005,1000,"0.05",TRUE,0.008
"bivt",0.005,1000,"0.1",TRUE,0.007
"bivt",0.005,1000,"0.01",TRUE,0.01
"bivt",0.005,1000,"0.05",FALSE,0.006
