"dist","p","n","alpha","is_covered","c_estimate"
"bivt",0.005,1000,"0.05",FALSE,0.00331763006854937
"bivt",0.005,1000,"0.1",FALSE,0.00281721884155961
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.00302561929846044
"bivt",0.005,1000,"0.1",TRUE,0.00275567508648084
"bivt",0.005,1000,"0.01",TRUE,0.00383043922369765
"bivt",0.005,1000,"0.05",TRUE,0.00458715596330275
"bivt",0.005,1000,"0.1",TRUE,0.00383043922369765
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.00407331975560082
"bivt",0.005,1000,"0.1",TRUE,0.00324014071468247
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00402930402930403
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.00341203282932605
"bivt",0.005,1000,"0.1",FALSE,0.00297315664288141
"bivt",0.005,1000,"0.01",TRUE,0.00458715596330275
"bivt",0.005,1000,"0.05",TRUE,0.00384963768115942
"bivt",0.005,1000,"0.1",TRUE,0.00309917355371901
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",FALSE,0.00277011231460025
"bivt",0.005,1000,"0.1",FALSE,0.00253036437246964
"bivt",0.005,1000,"0.01",FALSE,0.00380324543610548
"bivt",0.005,1000,"0.05",TRUE,0.00477169284980179
"bivt",0.005,1000,"0.1",TRUE,0.00403225806451611
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.00489428968050189
"bivt",0.005,1000,"0.1",TRUE,0.00363482159084025
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",FALSE,0.00343642611683849
"bivt",0.005,1000,"0.1",FALSE,0.00292658823221102
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.00356052899287894
"bivt",0.005,1000,"0.1",TRUE,0.00328995467173563
"bivt",0.005,1000,"0.01",TRUE,0.00458715596330275
"bivt",0.005,1000,"0.05",TRUE,0.00334003674462485
"bivt",0.005,1000,"0.1",TRUE,0.00280027187455482
"bivt",0.005,1000,"0.01",TRUE,0.00451030927835051
"bivt",0.005,1000,"0.05",TRUE,0.00458715596330275
"bivt",0.005,1000,"0.1",FALSE,0.00372663685357184
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.00321181949574434
"bivt",0.005,1000,"0.1",TRUE,0.00269491287626482
"bivt",0.005,1000,"0.01",TRUE,0.00420750420750421
"bivt",0.005,1000,"0.05",FALSE,0.006
"bivt",0.005,1000,"0.1",FALSE,0.00402930402930403
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.00304002141903598
"bivt",0.005,1000,"0.1",TRUE,0.00253807106598985
"bivt",0.005,1000,"0.01",TRUE,0.00356154691717511
"bivt",0.005,1000,"0.05",TRUE,0.00458715596330275
"bivt",0.005,1000,"0.1",TRUE,0.00370679269761839
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.0028395081507404
"bivt",0.005,1000,"0.1",TRUE,0.00262778499831609
"bivt",0.005,1000,"0.01",TRUE,0.00417439703153989
"bivt",0.005,1000,"0.05",FALSE,0.0031661600810537
"bivt",0.005,1000,"0.1",FALSE,0.00277443817626931
"bivt",0.005,1000,"0.01",FALSE,0.00381712235141369
"bivt",0.005,1000,"0.05",TRUE,0.00393669789780333
"bivt",0.005,1000,"0.1",TRUE,0.00309917355371901
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.00338409475465313
"bivt",0.005,1000,"0.1",TRUE,0.00286644915295417
"bivt",0.005,1000,"0.01",TRUE,0.00426374131695967
"bivt",0.005,1000,"0.05",TRUE,0.00381033601930324
"bivt",0.005,1000,"0.1",TRUE,0.0032417770394222
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",FALSE,0.00305409725012011
"bivt",0.005,1000,"0.1",FALSE,0.00253807106598985
"bivt",0.005,1000,"0.01",TRUE,0.00458764901512252
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00454254877292674
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.00335792048984419
"bivt",0.005,1000,"0.1",FALSE,0.00289856295102567
"bivt",0.005,1000,"0.01",TRUE,0.00464295663478503
"bivt",0.005,1000,"0.05",TRUE,0.00324014071468247
"bivt",0.005,1000,"0.1",TRUE,0.00274725274725275
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00444500889001777
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.00394677306764597
"bivt",0.005,1000,"0.1",TRUE,0.00332072423616063
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00469123166154896
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",FALSE,0.0031429244912391
"bivt",0.005,1000,"0.1",FALSE,0.00255414889757581
"bivt",0.005,1000,"0.01",FALSE,0.00452252315739566
"bivt",0.005,1000,"0.05",TRUE,0.00324014071468247
"bivt",0.005,1000,"0.1",FALSE,0.00283114256825076
"bivt",0.005,1000,"0.01",TRUE,0.00469466914768818
"bivt",0.005,1000,"0.05",TRUE,0.00356052899287894
"bivt",0.005,1000,"0.1",FALSE,0.00305498981670061
"bivt",0.005,1000,"0.01",TRUE,0.00452130665762405
"bivt",0.005,1000,"0.05",FALSE,0.00225149161319374
"bivt",0.005,1000,"0.1",FALSE,0.00202839756592292
"bivt",0.005,1000,"0.01",FALSE,0.00288924591777445
"bivt",0.005,1000,"0.05",TRUE,0.00354961680961655
"bivt",0.005,1000,"0.1",TRUE,0.003125
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.00395212285456188
"bivt",0.005,1000,"0.1",FALSE,0.00324014071468247
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.00355476691380098
"bivt",0.005,1000,"0.1",FALSE,0.00277443817626931
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",FALSE,0.00338409475465313
"bivt",0.005,1000,"0.1",FALSE,0.00327461607949413
"bivt",0.005,1000,"0.01",FALSE,0.00444162436548223
"bivt",0.005,1000,"0.05",TRUE,0.0039683437356496
"bivt",0.005,1000,"0.1",TRUE,0.0032788963207458
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",FALSE,0.00356052899287894
"bivt",0.005,1000,"0.1",FALSE,0.00324325864743532
"bivt",0.005,1000,"0.01",FALSE,0.00452130665762405
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.0045230332147303
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.00407331975560081
"bivt",0.005,1000,"0.1",TRUE,0.00336871250576834
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.00324045634312863
"bivt",0.005,1000,"0.1",TRUE,0.00281929468702182
"bivt",0.005,1000,"0.01",TRUE,0.00426237302969864
"bivt",0.005,1000,"0.05",FALSE,0.00253807106598985
"bivt",0.005,1000,"0.1",FALSE,0.00225149161319374
"bivt",0.005,1000,"0.01",FALSE,0.00341676589978775
"bivt",0.005,1000,"0.05",FALSE,0.00234250213079595
"bivt",0.005,1000,"0.1",FALSE,0.00202839756592292
"bivt",0.005,1000,"0.01",FALSE,0.00289214821235025
"bivt",0.005,1000,"0.05",FALSE,0.00254582484725051
"bivt",0.005,1000,"0.1",FALSE,0.00253036437246964
"bivt",0.005,1000,"0.01",FALSE,0.00338409475465313
"bivt",0.005,1000,"0.05",TRUE,0.00330086980879692
"bivt",0.005,1000,"0.1",TRUE,0.00277443817626931
"bivt",0.005,1000,"0.01",TRUE,0.00449976138999224
"bivt",0.005,1000,"0.05",TRUE,0.00324014071468247
"bivt",0.005,1000,"0.1",TRUE,0.00281721884155961
"bivt",0.005,1000,"0.01",TRUE,0.00461356249170434
"bivt",0.005,1000,"0.05",TRUE,0.00342057481953855
"bivt",0.005,1000,"0.1",TRUE,0.00295464618111981
"bivt",0.005,1000,"0.01",TRUE,0.00444278420349975
"bivt",0.005,1000,"0.05",TRUE,0.00370679269761839
"bivt",0.005,1000,"0.1",TRUE,0.00315128267871819
"bivt",0.005,1000,"0.01",TRUE,0.00490455958549222
"bivt",0.005,1000,"0.05",TRUE,0.0033298282509639
"bivt",0.005,1000,"0.1",TRUE,0.00292141396435875
"bivt",0.005,1000,"0.01",TRUE,0.00452192224798758
"bivt",0.005,1000,"0.05",TRUE,0.00426039536468984
"bivt",0.005,1000,"0.1",TRUE,0.00363482159084025
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",FALSE,0.00350615054279766
"bivt",0.005,1000,"0.1",FALSE,0.00292141396435875
