"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt",0.005,1000,"0.05",FALSE,0.011,-0.00279112664433765
"bivt",0.005,1000,"0.1",FALSE,0.01,-0.00264550264550265
"bivt",0.005,1000,"0.01",FALSE,0.0130049999999999,-0.00303647712082235
"bivt",0.005,1000,"0.05",FALSE,0.009,-0.00291966316307087
"bivt",0.005,1000,"0.1",FALSE,0.008,-0.00283114256825076
"bivt",0.005,1000,"0.01",FALSE,0.011,-0.00315566225738901
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00268456375838926
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00252525252525253
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.0028546332894159
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00291842988472202
"bivt",0.005,1000,"0.1",TRUE,0.00458715596330276,-0.00264550264550265
"bivt",0.005,1000,"0.01",TRUE,0.00800499999999988,-0.00330353460199852
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00253549695740365
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00239234449760766
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00289351851851852
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.0025692415757509
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00239234449760766
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.0028546332894159
"bivt",0.005,1000,"0.05",FALSE,0.006,-0.00279495510603361
"bivt",0.005,1000,"0.1",FALSE,0.006,-0.0026267402153927
"bivt",0.005,1000,"0.01",TRUE,0.00800499999999988,-0.00300785207700101
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00262302319517988
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00244308328251462
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00285478003068141
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00264550264550265
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00242660578469915
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00290088002334195
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.0028116213683224
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00274165752780824
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00303643724696356
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00262314416347927
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00246616726779494
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00296174051551479
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00263771046731437
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00240743415667582
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00305266749268258
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00275482093663912
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00261490759378344
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00303030303030303
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00297619047619047
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00283114256825076
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00313796590077055
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00264550264550265
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00252525252525253
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00294612794612795
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00306254879958317
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00298305624055365
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00326168498646401
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00278086763070078
"bivt",0.005,1000,"0.1",FALSE,0.0043886103100019,-0.00253549695740365
"bivt",0.005,1000,"0.01",TRUE,0.007,-0.00317702645841
"bivt",0.005,1000,"0.05",FALSE,0.007,-0.00275491092425682
"bivt",0.005,1000,"0.1",FALSE,0.006,-0.00257201646090535
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00303030303030303
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.0028546332894159
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00274944323774436
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00310800310800311
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00264550264550265
"bivt",0.005,1000,"0.1",FALSE,0.00363398889922987,-0.00242034853018835
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00296663409186095
"bivt",0.005,1000,"0.05",FALSE,0.008,-0.00263771046731437
"bivt",0.005,1000,"0.1",FALSE,0.007,-0.00240743415667582
"bivt",0.005,1000,"0.01",FALSE,0.009,-0.00285481934795436
"bivt",0.005,1000,"0.05",FALSE,0.007,-0.00252525252525253
"bivt",0.005,1000,"0.1",FALSE,0.006,-0.00239234449760766
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00278101190073159
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00273845635321874
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00252780586450961
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.0029266332360701
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00287282941777324
"bivt",0.005,1000,"0.1",FALSE,0.007,-0.00268452582796428
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00317262562644683
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00285243407707911
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00275552012977025
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00309898603762701
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00299591806164101
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00283114256825076
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00330895158481365
"bivt",0.005,1000,"0.05",FALSE,0.007,-0.00263771046731437
"bivt",0.005,1000,"0.1",FALSE,0.006,-0.00244254210477343
"bivt",0.005,1000,"0.01",FALSE,0.00800499999999988,-0.0028546332894159
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00275482093663912
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00252525252525253
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00299591806164101
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00253036437246964
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00240743415667582
"bivt",0.005,1000,"0.01",TRUE,0.00800499999999988,-0.00291673663162849
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00275817108182992
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00263157894736842
"bivt",0.005,1000,"0.01",TRUE,0.0100049999999999,-0.00300694095548336
