"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00303743142107314
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00298795975458941
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00340299926056037
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00295938801817651
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00278491264910136
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00317612086337478
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00299202150757615
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00292850360636429
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00318756783336538
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00305743135539393
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00297825068386837
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00323128564208259
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.0029177673693371
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00279010480249434
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00318962097972935
"bivt",0.005,1000,"0.05",TRUE,0.011,-0.00318674131337536
"bivt",0.005,1000,"0.1",TRUE,0.01,-0.00306286744847844
"bivt",0.005,1000,"0.01",TRUE,0.013,-0.00351214440389606
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00304063045029808
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00298120560628428
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00340041458209703
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00272851405028565
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00260652232366297
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00293922703263392
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00300689461697031
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.002718309823968
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00327493413211235
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00304221018786046
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00291731238442653
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00326392698791201
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00311298910699925
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00289663475253967
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00326667346375545
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00350517876367055
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00331868743607658
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00368767255518726
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00297266200416752
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00278382649784929
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00320346095633424
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00318856249625983
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00303889220173191
"bivt",0.005,1000,"0.01",TRUE,0.012,-0.00332552755494178
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00307098944292927
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00293296176665576
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00340876686694784
"bivt",0.005,1000,"0.05",TRUE,0.012,-0.00319773341768756
"bivt",0.005,1000,"0.1",TRUE,0.011,-0.00311979319192679
"bivt",0.005,1000,"0.01",TRUE,0.014,-0.00336962592888415
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00316556624349953
"bivt",0.005,1000,"0.1",TRUE,0.00473239465888633,-0.00298351170485256
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00342507941860128
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00293446460221662
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00275789039099244
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00324803348853422
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00284861440126894
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00265701537874474
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.0030486202012639
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00316056777848959
"bivt",0.005,1000,"0.1",TRUE,0.00476763022649151,-0.00284295386178231
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00341001121807195
"bivt",0.005,1000,"0.05",TRUE,0.012,-0.00328952740207904
"bivt",0.005,1000,"0.1",TRUE,0.011,-0.00318210252546287
"bivt",0.005,1000,"0.01",TRUE,0.014,-0.00352330227497791
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00306233529521647
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00295334608325914
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.0032697976112832
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00303555089428978
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00276019628925123
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00323947836265243
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00343549141561199
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00332042005651778
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.0036901415403833
"bivt",0.005,1000,"0.05",TRUE,0.00902499999999986,-0.0030588608988782
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00292070644877878
"bivt",0.005,1000,"0.01",TRUE,0.0110049999999999,-0.0033395345687917
"bivt",0.005,1000,"0.05",TRUE,0.011,-0.00287666844028354
"bivt",0.005,1000,"0.1",TRUE,0.01,-0.00274433216336247
"bivt",0.005,1000,"0.01",TRUE,0.0130049999999999,-0.00311424653033724
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00304583071944105
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00294133248246562
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00330596462850753
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00324824756674475
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.0030590111718629
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00338591019826896
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00331794798319486
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00310622929893103
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00344894891908311
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00327354386370841
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00302041233177361
"bivt",0.005,1000,"0.01",TRUE,0.008,-0.00355576919709505
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00294006998381793
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.0028204174438424
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00322052121486289
"bivt",0.005,1000,"0.05",FALSE,0.008,-0.00286816409417732
"bivt",0.005,1000,"0.1",FALSE,0.008,-0.00275928585588198
"bivt",0.005,1000,"0.01",FALSE,0.0100049999999999,-0.00311382752633719
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00289314428112696
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.002779994135108
"bivt",0.005,1000,"0.01",TRUE,0.00800499999999988,-0.00312284750403071
"bivt",0.005,1000,"0.05",FALSE,0.009,-0.00282284351308773
"bivt",0.005,1000,"0.1",FALSE,0.008,-0.00262903544368865
"bivt",0.005,1000,"0.01",FALSE,0.011,-0.00304258049007718
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00303465852212463
"bivt",0.005,1000,"0.1",FALSE,0.006,-0.0029378254514487
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.0033153352479449
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00301169439829008
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00289692230701118
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00317514777819217
"bivt",0.005,1000,"0.05",TRUE,0.006,-0.00333474977375896
"bivt",0.005,1000,"0.1",TRUE,0.00443227758489086,-0.00311925758321652
"bivt",0.005,1000,"0.01",TRUE,0.007,-0.00353556622398984
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00301302153626536
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.00291627509241812
"bivt",0.005,1000,"0.01",TRUE,0.0110049999999999,-0.00321501451817276
"bivt",0.005,1000,"0.05",TRUE,0.007,-0.00311604427493025
"bivt",0.005,1000,"0.1",TRUE,0.006,-0.00299293071801986
"bivt",0.005,1000,"0.01",TRUE,0.01,-0.00333751977337145
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00320439314991576
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.00316256676160725
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00338892133362976
"bivt",0.005,1000,"0.05",FALSE,0.008,-0.00284351499122581
"bivt",0.005,1000,"0.1",FALSE,0.007,-0.00263829000746126
"bivt",0.005,1000,"0.01",TRUE,0.00900499999999988,-0.00311899548806934
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00290623106800685
"bivt",0.005,1000,"0.1",FALSE,0.007,-0.00269440039725838
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00334198058227308
"bivt",0.005,1000,"0.05",TRUE,0.008,-0.00304194097252359
"bivt",0.005,1000,"0.1",TRUE,0.007,-0.002821296209719
"bivt",0.005,1000,"0.01",TRUE,0.009,-0.00320787198960842
"bivt",0.005,1000,"0.05",TRUE,0.009,-0.00289160568300233
"bivt",0.005,1000,"0.1",TRUE,0.008,-0.0027935134564741
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.0031406162913901
"bivt",0.005,1000,"0.05",FALSE,0.009,-0.00330483826573209
"bivt",0.005,1000,"0.1",FALSE,0.008,-0.00317883571078407
"bivt",0.005,1000,"0.01",FALSE,0.011,-0.00351984984807425
"bivt",0.005,1000,"0.05",FALSE,0.01,-0.00271417658573722
"bivt",0.005,1000,"0.1",FALSE,0.009,-0.00257066909882615
"bivt",0.005,1000,"0.01",TRUE,0.011,-0.00300608194267799
"bivt",0.005,1000,"0.05",TRUE,0.01,-0.00304808407520201
"bivt",0.005,1000,"0.1",TRUE,0.009,-0.00285082543077068
