"dist","p","n","alpha","is_covered","c_estimate"
"bivt",0.005,1000,"0.05",FALSE,0.00275265409193981
"bivt",0.005,1000,"0.1",FALSE,0.00224726894399167
"bivt",0.005,1000,"0.01",FALSE,0.00334535974973931
"bivt",0.005,1000,"0.05",TRUE,0.00244134710366079
"bivt",0.005,1000,"0.1",TRUE,0.00212656832824685
"bivt",0.005,1000,"0.01",TRUE,0.00356917599186166
"bivt",0.005,1000,"0.05",FALSE,0.00303095338854968
"bivt",0.005,1000,"0.1",FALSE,0.00266239785470562
"bivt",0.005,1000,"0.01",TRUE,0.00444235655926523
"bivt",0.005,1000,"0.05",FALSE,0.00206868869423525
"bivt",0.005,1000,"0.1",FALSE,0.00189830325299903
"bivt",0.005,1000,"0.01",TRUE,0.00273729102695324
"bivt",0.005,1000,"0.05",FALSE,0.00265866761144678
"bivt",0.005,1000,"0.1",FALSE,0.00234018737316099
"bivt",0.005,1000,"0.01",TRUE,0.00315117466802861
"bivt",0.005,1000,"0.05",FALSE,0.00300815303709456
"bivt",0.005,1000,"0.1",FALSE,0.00254521920541516
"bivt",0.005,1000,"0.01",FALSE,0.00372460341162385
"bivt",0.005,1000,"0.05",TRUE,0.00288585849641371
"bivt",0.005,1000,"0.1",TRUE,0.00248746420420404
"bivt",0.005,1000,"0.01",TRUE,0.00394575230296828
"bivt",0.005,1000,"0.05",TRUE,0.00241875783867155
"bivt",0.005,1000,"0.1",FALSE,0.0021511973085296
"bivt",0.005,1000,"0.01",TRUE,0.00292944785276076
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.00268770923003347
"bivt",0.005,1000,"0.1",TRUE,0.00250099457942494
"bivt",0.005,1000,"0.01",TRUE,0.00348154900405306
"bivt",0.005,1000,"0.05",FALSE,0.00281596279699135
"bivt",0.005,1000,"0.1",FALSE,0.00245823170522583
"bivt",0.005,1000,"0.01",FALSE,0.00342735042735041
"bivt",0.005,1000,"0.05",FALSE,0.00216161616161616
"bivt",0.005,1000,"0.1",FALSE,0.00198520739088224
"bivt",0.005,1000,"0.01",FALSE,0.00245791245791245
"bivt",0.005,1000,"0.05",TRUE,0.00377994676131323
"bivt",0.005,1000,"0.1",TRUE,0.00315117466802861
"bivt",0.005,1000,"0.01",TRUE,0.00465270684371812
"bivt",0.005,1000,"0.05",FALSE,0.00236961981820775
"bivt",0.005,1000,"0.1",FALSE,0.00208408211365515
"bivt",0.005,1000,"0.01",FALSE,0.00272259280199283
"bivt",0.005,1000,"0.05",TRUE,0.00344501718213062
"bivt",0.005,1000,"0.1",TRUE,0.00292160214329145
"bivt",0.005,1000,"0.01",TRUE,0.00426976823449214
"bivt",0.005,1000,"0.05",TRUE,0.00321259403733632
"bivt",0.005,1000,"0.1",TRUE,0.00247390128609267
"bivt",0.005,1000,"0.01",TRUE,0.00426022896470832
"bivt",0.005,1000,"0.05",FALSE,0.00255107252298263
"bivt",0.005,1000,"0.1",FALSE,0.00235444330949949
"bivt",0.005,1000,"0.01",TRUE,0.00292944785276076
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00465057872898012
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",FALSE,0.00291751183231913
"bivt",0.005,1000,"0.1",FALSE,0.0027364560316228
"bivt",0.005,1000,"0.01",FALSE,0.00315700237368598
"bivt",0.005,1000,"0.05",TRUE,0.00282039633091037
"bivt",0.005,1000,"0.1",TRUE,0.0023490725469835
"bivt",0.005,1000,"0.01",TRUE,0.00375305216621058
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00460916442048518
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.00415770609318999
"bivt",0.005,1000,"0.1",FALSE,0.00369072164948454
"bivt",0.005,1000,"0.01",TRUE,0.00600999999999999
"bivt",0.005,1000,"0.05",FALSE,0.00265687583444593
"bivt",0.005,1000,"0.1",FALSE,0.00243045889594607
"bivt",0.005,1000,"0.01",FALSE,0.00315700237368598
"bivt",0.005,1000,"0.05",FALSE,0.00260575501901969
"bivt",0.005,1000,"0.1",FALSE,0.00236047580077817
"bivt",0.005,1000,"0.01",FALSE,0.0029675958339343
"bivt",0.005,1000,"0.05",FALSE,0.00288967611336033
"bivt",0.005,1000,"0.1",FALSE,0.0026701218060049
"bivt",0.005,1000,"0.01",FALSE,0.00315700237368598
"bivt",0.005,1000,"0.05",TRUE,0.00308196721311474
"bivt",0.005,1000,"0.1",TRUE,0.00259879681061612
"bivt",0.005,1000,"0.01",TRUE,0.0042269797579092
"bivt",0.005,1000,"0.05",TRUE,0.00268770923003347
"bivt",0.005,1000,"0.1",FALSE,0.0024977416440831
"bivt",0.005,1000,"0.01",TRUE,0.00304062975148007
"bivt",0.005,1000,"0.05",FALSE,0.00238158062054934
"bivt",0.005,1000,"0.1",FALSE,0.00225324309080654
"bivt",0.005,1000,"0.01",FALSE,0.00264834239942272
"bivt",0.005,1000,"0.05",TRUE,0.00227238350833091
"bivt",0.005,1000,"0.1",TRUE,0.00213578387537142
"bivt",0.005,1000,"0.01",TRUE,0.00294683409030194
"bivt",0.005,1000,"0.05",FALSE,0.00236634278708725
"bivt",0.005,1000,"0.1",FALSE,0.00212901458615412
"bivt",0.005,1000,"0.01",FALSE,0.00294683409030194
"bivt",0.005,1000,"0.05",TRUE,0.00315117466802861
"bivt",0.005,1000,"0.1",FALSE,0.00282487548202354
"bivt",0.005,1000,"0.01",TRUE,0.00384315223823649
"bivt",0.005,1000,"0.05",TRUE,0.00426976823449214
"bivt",0.005,1000,"0.1",TRUE,0.003571654826146
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",FALSE,0.00231707317073174
"bivt",0.005,1000,"0.1",FALSE,0.00214467005076142
"bivt",0.005,1000,"0.01",FALSE,0.00259783392301123
"bivt",0.005,1000,"0.05",TRUE,0.00221390487872813
"bivt",0.005,1000,"0.1",TRUE,0.00199971725454159
"bivt",0.005,1000,"0.01",TRUE,0.0029399836175959
"bivt",0.005,1000,"0.05",FALSE,0.002784350091873
"bivt",0.005,1000,"0.1",FALSE,0.00257952573742047
