"dist","p","n","alpha","is_covered","c_estimate"
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.00440824712324533
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.009
"bivt",0.005,1000,"0.1",TRUE,0.007
"bivt",0.005,1000,"0.01",TRUE,0.011
"bivt",0.005,1000,"0.05",TRUE,0.00704999999999995
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.01
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00455909534813274
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00447650400739339
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.008
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00424613811693305
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.01
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00472151012772074
"bivt",0.005,1000,"0.01",TRUE,0.00700999999999999
"bivt",0.005,1000,"0.05",TRUE,0.008
"bivt",0.005,1000,"0.1",TRUE,0.007
"bivt",0.005,1000,"0.01",TRUE,0.011
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.00900999999999999
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00467365511426788
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00492453484348746
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.01
"bivt",0.005,1000,"0.05",TRUE,0.00442247660183054
"bivt",0.005,1000,"0.1",TRUE,0.00368941829178534
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.008
"bivt",0.005,1000,"0.1",TRUE,0.007
"bivt",0.005,1000,"0.01",TRUE,0.011
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.01
"bivt",0.005,1000,"0.05",FALSE,0.00422131478890414
"bivt",0.005,1000,"0.1",FALSE,0.00370106704789819
"bivt",0.005,1000,"0.01",TRUE,0.006
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00458530750752275
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",FALSE,0.006
"bivt",0.005,1000,"0.1",FALSE,0.0049571330258294
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00483815896177945
"bivt",0.005,1000,"0.01",TRUE,0.00700999999999999
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.008
"bivt",0.005,1000,"0.1",TRUE,0.007
"bivt",0.005,1000,"0.01",TRUE,0.01
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.00900999999999999
"bivt",0.005,1000,"0.05",TRUE,0.00496848972793829
"bivt",0.005,1000,"0.1",TRUE,0.0049160369054468
"bivt",0.005,1000,"0.01",TRUE,0.007
"bivt",0.005,1000,"0.05",TRUE,0.008
"bivt",0.005,1000,"0.1",TRUE,0.007
"bivt",0.005,1000,"0.01",TRUE,0.011
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00464192292077202
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",FALSE,0.00386998884336023
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.008
"bivt",0.005,1000,"0.1",TRUE,0.007
"bivt",0.005,1000,"0.01",TRUE,0.01
"bivt",0.005,1000,"0.05",TRUE,0.00604999999999995
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.008
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00483925184953205
"bivt",0.005,1000,"0.01",TRUE,0.00800999999999999
"bivt",0.005,1000,"0.05",TRUE,0.00604999999999995
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.00800999999999999
"bivt",0.005,1000,"0.05",TRUE,0.008
"bivt",0.005,1000,"0.1",TRUE,0.007
"bivt",0.005,1000,"0.01",TRUE,0.01001
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.006
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.007
"bivt",0.005,1000,"0.1",TRUE,0.007
"bivt",0.005,1000,"0.01",TRUE,0.009
"bivt",0.005,1000,"0.05",TRUE,0.008
"bivt",0.005,1000,"0.1",TRUE,0.007
"bivt",0.005,1000,"0.01",TRUE,0.01001
"bivt",0.005,1000,"0.05",TRUE,0.006
"bivt",0.005,1000,"0.1",TRUE,0.00478622009744886
"bivt",0.005,1000,"0.01",TRUE,0.009
