"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt",0.005,3000,"0.05",TRUE,0.006,-0.00298051005598175
"bivt",0.005,3000,"0.1",TRUE,0.00490140632658449,-0.00285810356422326
"bivt",0.005,3000,"0.01",TRUE,0.007,-0.00316285329744281
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00306116246016147
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00292669628109113
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.00332662363984887
"bivt",0.005,3000,"0.05",TRUE,0.00488886865410211,-0.00397935260971496
"bivt",0.005,3000,"0.1",TRUE,0.00416064034236117,-0.00390709789450836
"bivt",0.005,3000,"0.01",TRUE,0.007,-0.00408425415913215
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00403332451732346
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00397822445561139
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.0041486502278836
"bivt",0.005,3000,"0.05",TRUE,0.006,-0.00263346346646953
"bivt",0.005,3000,"0.1",TRUE,0.006,-0.00242801513231525
"bivt",0.005,3000,"0.01",TRUE,0.009,-0.00306951891922617
"bivt",0.005,3000,"0.05",TRUE,0.007,-0.00331658218995364
"bivt",0.005,3000,"0.1",TRUE,0.006,-0.00316609416744734
"bivt",0.005,3000,"0.01",TRUE,0.008,-0.00354371295209187
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00244467895253656
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00230015082956259
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00283061594202898
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.00237430996616608
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00226528552894417
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.00281219500090982
"bivt",0.005,3000,"0.05",TRUE,0.011,-0.00265201340753802
"bivt",0.005,3000,"0.1",TRUE,0.01,-0.00247055103170211
"bivt",0.005,3000,"0.01",TRUE,0.013,-0.00296663409186095
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.00237502246642873
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.0020573092505064
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.00275637027797576
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.0024242654713295
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00227502527805865
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.00271940129661054
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.00248684379412141
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00231049660523227
"bivt",0.005,3000,"0.01",TRUE,0.013,-0.00294377391816308
"bivt",0.005,3000,"0.05",TRUE,0.011,-0.00203182996605101
"bivt",0.005,3000,"0.1",FALSE,0.01,-0.0019876492314423
"bivt",0.005,3000,"0.01",TRUE,0.013,-0.00237502246642873
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00368400225597356
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00360341657275046
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00377518887608029
"bivt",0.005,3000,"0.05",FALSE,0.00430307121160977,-0.002954391579984
"bivt",0.005,3000,"0.1",FALSE,0.00356052899287894,-0.00273368445991507
"bivt",0.005,3000,"0.01",TRUE,0.007,-0.00344500815215142
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00313836054584864
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00299470410221922
"bivt",0.005,3000,"0.01",TRUE,0.01,-0.00331783027053304
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.0023650142414988
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00211707420345083
"bivt",0.005,3000,"0.01",TRUE,0.013,-0.00283225943496424
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00332102849697914
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00327159708464347
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00351886895732002
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00271461821910991
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00260504378578646
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.0031186457592655
"bivt",0.005,3000,"0.05",FALSE,0.00343287135338578,-0.00338753387533875
"bivt",0.005,3000,"0.1",FALSE,0.00343287135338578,-0.00330968937694226
"bivt",0.005,3000,"0.01",TRUE,0.006,-0.00359135341133653
"bivt",0.005,3000,"0.05",FALSE,0.012,-0.00234045872991106
"bivt",0.005,3000,"0.1",FALSE,0.01,-0.00221662647183997
"bivt",0.005,3000,"0.01",TRUE,0.014,-0.00289757412398921
"bivt",0.005,3000,"0.05",TRUE,0.006,-0.00329116577967718
"bivt",0.005,3000,"0.1",TRUE,0.006,-0.00316711414644319
"bivt",0.005,3000,"0.01",TRUE,0.008,-0.00361534016642925
"bivt",0.005,3000,"0.05",FALSE,0.011,-0.00281219500090982
"bivt",0.005,3000,"0.1",FALSE,0.01,-0.00268837372145947
"bivt",0.005,3000,"0.01",FALSE,0.014,-0.00310624121516156
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00235215053763441
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00214293061476395
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.00261910700922924
"bivt",0.005,3000,"0.05",TRUE,0.015,-0.00168577208361431
"bivt",0.005,3000,"0.1",TRUE,0.013,-0.00141418398810975
"bivt",0.005,3000,"0.01",TRUE,0.018,-0.00204560669801886
"bivt",0.005,3000,"0.05",TRUE,0.011,-0.00303122030794435
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00295358280533481
"bivt",0.005,3000,"0.01",TRUE,0.013,-0.00340365256614774
"bivt",0.005,3000,"0.05",TRUE,0.00354012137558995,-0.00360265155154193
"bivt",0.005,3000,"0.1",TRUE,0.00210721510451785,-0.0035215157708667
"bivt",0.005,3000,"0.01",TRUE,0.006,-0.00369178932188936
"bivt",0.005,3000,"0.05",FALSE,0.00386215092097439,-0.00316248670670416
"bivt",0.005,3000,"0.1",FALSE,0.00370948848106205,-0.00305730258560447
"bivt",0.005,3000,"0.01",TRUE,0.007,-0.00344552636025684
"bivt",0.005,3000,"0.05",TRUE,0.013,-0.00282650000785138
"bivt",0.005,3000,"0.1",TRUE,0.012,-0.00275597495369962
"bivt",0.005,3000,"0.01",TRUE,0.015,-0.0030805103220792
"bivt",0.005,3000,"0.05",TRUE,0.011,-0.00238657731064076
"bivt",0.005,3000,"0.1",TRUE,0.01,-0.0022554491651831
"bivt",0.005,3000,"0.01",TRUE,0.013,-0.00271006679948435
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00269142205342687
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00256499044541059
"bivt",0.005,3000,"0.01",TRUE,0.01,-0.0028207607994842
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00280108217418631
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00256782602535951
"bivt",0.005,3000,"0.01",TRUE,0.01,-0.00318105906545029
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.00235156275784678
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00227339941324652
"bivt",0.005,3000,"0.01",TRUE,0.012,-0.00265074681910381
"bivt",0.005,3000,"0.05",FALSE,0.00330064126744625,-0.00340396286114425
"bivt",0.005,3000,"0.1",FALSE,0.00303234501347707,-0.00333782872555631
"bivt",0.005,3000,"0.01",FALSE,0.00346871846619582,-0.00361964191035524
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.0027804157165855
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00260504378578646
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00314629267366431
"bivt",0.005,3000,"0.05",TRUE,0.006,-0.0030431154124574
"bivt",0.005,3000,"0.1",TRUE,0.00490211482261258,-0.00292684354557826
"bivt",0.005,3000,"0.01",TRUE,0.009,-0.0031954462760269
"bivt",0.005,3000,"0.05",TRUE,0.012,-0.00267709100957995
"bivt",0.005,3000,"0.1",FALSE,0.011,-0.00243161094224924
"bivt",0.005,3000,"0.01",TRUE,0.015,-0.00295452529168746
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.00276630638819181
"bivt",0.005,3000,"0.1",TRUE,0.01,-0.00267355850637196
"bivt",0.005,3000,"0.01",TRUE,0.013,-0.00312019969278034
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00313796590077055
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00279605263157895
"bivt",0.005,3000,"0.01",TRUE,0.01,-0.00329945186525464
"bivt",0.005,3000,"0.05",TRUE,0.000373985564157244,-0.00403959088645129
"bivt",0.005,3000,"0.1",TRUE,0.000186929863915039,-0.00385664590077107
"bivt",0.005,3000,"0.01",TRUE,0.00175728908869911,-0.00413882400611727
