"dist","p","n","alpha","is_covered","c_estimate"
"bivt",0.005,3000,"0.05",TRUE,0.0036096256684492
"bivt",0.005,3000,"0.1",TRUE,0.0034464418678864
"bivt",0.005,3000,"0.01",TRUE,0.006
"bivt",0.005,3000,"0.05",TRUE,0.00445933090217216
"bivt",0.005,3000,"0.1",TRUE,0.00312305709363666
"bivt",0.005,3000,"0.01",TRUE,0.008
"bivt",0.005,3000,"0.05",TRUE,0.016
"bivt",0.005,3000,"0.1",TRUE,0.015
"bivt",0.005,3000,"0.01",TRUE,0.02001
"bivt",0.005,3000,"0.05",TRUE,0.01205
"bivt",0.005,3000,"0.1",TRUE,0.011
"bivt",0.005,3000,"0.01",TRUE,0.01501
"bivt",0.005,3000,"0.05",TRUE,0.006
"bivt",0.005,3000,"0.1",TRUE,0.00439041870294167
"bivt",0.005,3000,"0.01",TRUE,0.009
"bivt",0.005,3000,"0.05",FALSE,0.00390604656007494
"bivt",0.005,3000,"0.1",FALSE,0.00357330926051303
"bivt",0.005,3000,"0.01",TRUE,0.006
"bivt",0.005,3000,"0.05",TRUE,0.007
"bivt",0.005,3000,"0.1",TRUE,0.006
"bivt",0.005,3000,"0.01",TRUE,0.00800999999999999
"bivt",0.005,3000,"0.05",TRUE,0.014
"bivt",0.005,3000,"0.1",TRUE,0.012
"bivt",0.005,3000,"0.01",TRUE,0.017
"bivt",0.005,3000,"0.05",TRUE,0.00390368913522856
"bivt",0.005,3000,"0.1",TRUE,0.00387858347386172
"bivt",0.005,3000,"0.01",TRUE,0.0040677798961278
"bivt",0.005,3000,"0.05",TRUE,0.017
"bivt",0.005,3000,"0.1",TRUE,0.015
"bivt",0.005,3000,"0.01",TRUE,0.02
"bivt",0.005,3000,"0.05",TRUE,0.00384666109816679
"bivt",0.005,3000,"0.1",FALSE,0.00373959417273673
"bivt",0.005,3000,"0.01",TRUE,0.00396518566981899
"bivt",0.005,3000,"0.05",TRUE,0.007
"bivt",0.005,3000,"0.1",TRUE,0.006
"bivt",0.005,3000,"0.01",TRUE,0.01
"bivt",0.005,3000,"0.05",TRUE,0.007
"bivt",0.005,3000,"0.1",TRUE,0.006
"bivt",0.005,3000,"0.01",TRUE,0.009
"bivt",0.005,3000,"0.05",TRUE,0.009
"bivt",0.005,3000,"0.1",TRUE,0.008
"bivt",0.005,3000,"0.01",TRUE,0.012
"bivt",0.005,3000,"0.05",TRUE,0.016
"bivt",0.005,3000,"0.1",TRUE,0.015
"bivt",0.005,3000,"0.01",TRUE,0.019
"bivt",0.005,3000,"0.05",TRUE,0.006
"bivt",0.005,3000,"0.1",TRUE,0.00475822280378272
"bivt",0.005,3000,"0.01",TRUE,0.008
"bivt",0.005,3000,"0.05",TRUE,0.016
"bivt",0.005,3000,"0.1",TRUE,0.015
"bivt",0.005,3000,"0.01",TRUE,0.019
"bivt",0.005,3000,"0.05",TRUE,0.012
"bivt",0.005,3000,"0.1",TRUE,0.011
"bivt",0.005,3000,"0.01",TRUE,0.014
"bivt",0.005,3000,"0.05",TRUE,0.01
"bivt",0.005,3000,"0.1",TRUE,0.009
"bivt",0.005,3000,"0.01",TRUE,0.013
"bivt",0.005,3000,"0.05",TRUE,0.007
"bivt",0.005,3000,"0.1",TRUE,0.006
"bivt",0.005,3000,"0.01",TRUE,0.009
"bivt",0.005,3000,"0.05",TRUE,0.009
"bivt",0.005,3000,"0.1",TRUE,0.007
"bivt",0.005,3000,"0.01",TRUE,0.011
"bivt",0.005,3000,"0.05",TRUE,0.016
"bivt",0.005,3000,"0.1",TRUE,0.015
"bivt",0.005,3000,"0.01",TRUE,0.019
"bivt",0.005,3000,"0.05",TRUE,0.008
"bivt",0.005,3000,"0.1",TRUE,0.006
"bivt",0.005,3000,"0.01",TRUE,0.00900999999999999
"bivt",0.005,3000,"0.05",TRUE,0.009
"bivt",0.005,3000,"0.1",TRUE,0.008
"bivt",0.005,3000,"0.01",TRUE,0.011
"bivt",0.005,3000,"0.05",TRUE,0.01
"bivt",0.005,3000,"0.1",TRUE,0.009
"bivt",0.005,3000,"0.01",TRUE,0.012
"bivt",0.005,3000,"0.05",TRUE,0.008
"bivt",0.005,3000,"0.1",TRUE,0.007
"bivt",0.005,3000,"0.01",TRUE,0.01
"bivt",0.005,3000,"0.05",TRUE,0.00419426626013922
"bivt",0.005,3000,"0.1",TRUE,0.00393501736177357
"bivt",0.005,3000,"0.01",TRUE,0.006
"bivt",0.005,3000,"0.05",TRUE,0.008
"bivt",0.005,3000,"0.1",TRUE,0.007
"bivt",0.005,3000,"0.01",TRUE,0.01001
"bivt",0.005,3000,"0.05",TRUE,0.016
"bivt",0.005,3000,"0.1",TRUE,0.014
"bivt",0.005,3000,"0.01",TRUE,0.019
"bivt",0.005,3000,"0.05",TRUE,0.011
"bivt",0.005,3000,"0.1",TRUE,0.01
"bivt",0.005,3000,"0.01",TRUE,0.013
"bivt",0.005,3000,"0.05",TRUE,0.013
"bivt",0.005,3000,"0.1",TRUE,0.012
"bivt",0.005,3000,"0.01",TRUE,0.015
"bivt",0.005,3000,"0.05",TRUE,0.00394641364355821
"bivt",0.005,3000,"0.1",TRUE,0.00380728892294429
"bivt",0.005,3000,"0.01",TRUE,0.00406862811697332
"bivt",0.005,3000,"0.05",TRUE,0.009
"bivt",0.005,3000,"0.1",TRUE,0.008
"bivt",0.005,3000,"0.01",TRUE,0.012
"bivt",0.005,3000,"0.05",TRUE,0.012
"bivt",0.005,3000,"0.1",TRUE,0.011
"bivt",0.005,3000,"0.01",TRUE,0.014
"bivt",0.005,3000,"0.05",TRUE,0.009
"bivt",0.005,3000,"0.1",TRUE,0.008
"bivt",0.005,3000,"0.01",TRUE,0.01101
"bivt",0.005,3000,"0.05",TRUE,0.011
"bivt",0.005,3000,"0.1",TRUE,0.009
"bivt",0.005,3000,"0.01",TRUE,0.01201
"bivt",0.005,3000,"0.05",TRUE,0.01
"bivt",0.005,3000,"0.1",TRUE,0.008
"bivt",0.005,3000,"0.01",TRUE,0.012
"bivt",0.005,3000,"0.05",TRUE,0.012
"bivt",0.005,3000,"0.1",TRUE,0.011
"bivt",0.005,3000,"0.01",TRUE,0.014
"bivt",0.005,3000,"0.05",TRUE,0.008
"bivt",0.005,3000,"0.1",TRUE,0.007
"bivt",0.005,3000,"0.01",TRUE,0.01001
"bivt",0.005,3000,"0.05",TRUE,0.00704999999999995
"bivt",0.005,3000,"0.1",TRUE,0.006
"bivt",0.005,3000,"0.01",TRUE,0.01
"bivt",0.005,3000,"0.05",TRUE,0.009
"bivt",0.005,3000,"0.1",TRUE,0.008
"bivt",0.005,3000,"0.01",TRUE,0.012
"bivt",0.005,3000,"0.05",TRUE,0.007
"bivt",0.005,3000,"0.1",TRUE,0.006
"bivt",0.005,3000,"0.01",TRUE,0.009
"bivt",0.005,3000,"0.05",TRUE,0.011
"bivt",0.005,3000,"0.1",TRUE,0.009
"bivt",0.005,3000,"0.01",TRUE,0.014
"bivt",0.005,3000,"0.05",TRUE,0.00422116420624936
"bivt",0.005,3000,"0.1",TRUE,0.00380622837370243
"bivt",0.005,3000,"0.01",TRUE,0.00468770864385122
"bivt",0.005,3000,"0.05",TRUE,0.012
