"dist","p","n","alpha","is_covered","c_plus_estimate","c_minus_estimate"
"bivt",0.005,3000,"0.05",TRUE,0.016,-0.00200249199003204
"bivt",0.005,3000,"0.1",FALSE,0.015,-0.00169376693766938
"bivt",0.005,3000,"0.01",TRUE,0.018,-0.00244543952699765
"bivt",0.005,3000,"0.05",FALSE,0.018,-0.00181950509461425
"bivt",0.005,3000,"0.1",FALSE,0.017,-0.00163014483589873
"bivt",0.005,3000,"0.01",TRUE,0.02001,-0.00240480043973493
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00293156625034353
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.0027208599261001
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00310715485387974
"bivt",0.005,3000,"0.05",TRUE,0.012,-0.00217794660880003
"bivt",0.005,3000,"0.1",TRUE,0.011,-0.0020764119601329
"bivt",0.005,3000,"0.01",TRUE,0.014,-0.00281480055814849
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.0027545738738277
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00265648553142066
"bivt",0.005,3000,"0.01",TRUE,0.010005,-0.0029173612764944
"bivt",0.005,3000,"0.05",TRUE,0.007,-0.00320963683553584
"bivt",0.005,3000,"0.1",TRUE,0.006,-0.00299143784013757
"bivt",0.005,3000,"0.01",TRUE,0.008,-0.0033861407368489
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.0028101444377507
"bivt",0.005,3000,"0.1",TRUE,0.009,-0.00229807367353835
"bivt",0.005,3000,"0.01",TRUE,0.011005,-0.00309898404912316
"bivt",0.005,3000,"0.05",TRUE,0.01,-0.00295563606143963
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00272500778573653
"bivt",0.005,3000,"0.01",TRUE,0.011005,-0.00322502196557832
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00353311897831947
"bivt",0.005,3000,"0.1",TRUE,0.006,-0.00350823672971323
"bivt",0.005,3000,"0.01",TRUE,0.009005,-0.00377232711223441
"bivt",0.005,3000,"0.05",FALSE,0.00132640067911719,-0.00407916953604681
"bivt",0.005,3000,"0.1",FALSE,-0.000554913854938213,-0.00403904409289801
"bivt",0.005,3000,"0.01",TRUE,0.00252016129032263,-0.00414326775052823
"bivt",0.005,3000,"0.05",FALSE,0.00196078431372546,-0.0039467749210645
"bivt",0.005,3000,"0.1",FALSE,0.00184586986617443,-0.00390974084003575
"bivt",0.005,3000,"0.01",TRUE,0.0035160117631379,-0.00407510422026115
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00254036923386488
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00238946801673687
"bivt",0.005,3000,"0.01",TRUE,0.010005,-0.00281489286681538
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00309017223910841
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00296406475673112
"bivt",0.005,3000,"0.01",TRUE,0.009,-0.00337738904335511
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00359281722218134
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00353639589082392
"bivt",0.005,3000,"0.01",TRUE,0.01,-0.00373234700739744
"bivt",0.005,3000,"0.05",TRUE,0.007,-0.00261280092258902
"bivt",0.005,3000,"0.1",TRUE,0.006,-0.00242567724908794
"bivt",0.005,3000,"0.01",TRUE,0.009,-0.00293472657409928
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00279011752534412
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00246754331909383
"bivt",0.005,3000,"0.01",TRUE,0.01,-0.0029411027993671
"bivt",0.005,3000,"0.05",TRUE,0.00271771953134437,-0.00312257731070721
"bivt",0.005,3000,"0.1",TRUE,0.00229723107081604,-0.00304054054054054
"bivt",0.005,3000,"0.01",TRUE,0.00466200887298316,-0.00325845405346495
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00262728128586907
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00224845418774592
"bivt",0.005,3000,"0.01",TRUE,0.01,-0.0030238717059051
"bivt",0.005,3000,"0.05",TRUE,0.0033898305084746,-0.00322033711700008
"bivt",0.005,3000,"0.1",TRUE,0.00274408649360628,-0.00312082805971184
"bivt",0.005,3000,"0.01",TRUE,0.00469361147327247,-0.00333885467540583
"bivt",0.005,3000,"0.05",TRUE,0.00324433930381892,-0.00422818791946308
"bivt",0.005,3000,"0.1",TRUE,0.00282168172652221,-0.00415815582141814
"bivt",0.005,3000,"0.01",TRUE,0.00359074011490371,-0.00427301743674956
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00357887667456082
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00353946962409018
"bivt",0.005,3000,"0.01",TRUE,0.01,-0.0038454039298945
"bivt",0.005,3000,"0.05",TRUE,0.011,-0.0038065197128826
"bivt",0.005,3000,"0.1",TRUE,0.01,-0.00370448419574152
"bivt",0.005,3000,"0.01",TRUE,0.013,-0.00388035357255604
"bivt",0.005,3000,"0.05",TRUE,0.007,-0.00343241987208168
"bivt",0.005,3000,"0.1",TRUE,0.00460999446800669,-0.0033589142796561
"bivt",0.005,3000,"0.01",TRUE,0.009,-0.00359723977160541
"bivt",0.005,3000,"0.05",TRUE,0.008,-0.00338225177711534
"bivt",0.005,3000,"0.1",TRUE,0.007,-0.00324675324675325
"bivt",0.005,3000,"0.01",TRUE,0.009005,-0.00352434459524203
"bivt",0.005,3000,"0.05",TRUE,0.014,-0.0017711137380183
"bivt",0.005,3000,"0.1",FALSE,0.012,-0.00144787644787647
"bivt",0.005,3000,"0.01",TRUE,0.016,-0.00221279818550945
"bivt",0.005,3000,"0.05",TRUE,0.012,-0.00196607122795192
"bivt",0.005,3000,"0.1",TRUE,0.011,-0.00184948845320939
"bivt",0.005,3000,"0.01",TRUE,0.015,-0.00222920179339093
"bivt",0.005,3000,"0.05",TRUE,0.009,-0.00306845370648493
"bivt",0.005,3000,"0.1",TRUE,0.008,-0.00302111601085482
"bivt",0.005,3000,"0.01",TRUE,0.011,-0.00334595350631812
"bivt",0.005,3000,"0.05",TRUE,0.00420473421926911,-0.0034832424696585
"bivt",0.005,3000,"0.1",TRUE,0.00308148322059011,-0.00336247478143913
"bivt",0.005,3000,"0.01",TRUE,0.00430307121160977,-0.00364869611455196
"bivt",0.005,3000,"0.05",TRUE,0.016,-0.00119196614816139
"bivt",0.005,3000,"0.1",TRUE,0.015,-0.000970061739040461
"bivt",0.005,3000,"0.01",TRUE,0.018,-0.00161128154889272
"bivt",0.005,3000,"0.05",TRUE,0.00417439703153989,-0.0037134944612286
"bivt",0.005,3000,"0.1",TRUE,0.00317153888582463,-0.00364392855249907
"bivt",0.005,3000,"0.01",TRUE,0.00493587180636488,-0.00389162983762573
"bivt",0.005,3000,"0.05",TRUE,0.006,-0.00313802428414606
"bivt",0.005,3000,"0.1",TRUE,0.00465470548408935,-0.00302603319636006
"bivt",0.005,3000,"0.01",TRUE,0.008,-0.00323779084524605
