"dist","p","n","alpha","is_covered","c_estimate"
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.0025510451185564
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00188536953242833
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00385174257242467
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00176493843894724
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00162656726533379
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00294446136663622
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00118123765069729
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00112157918349036
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00157073936946035
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00194507319711326
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00146415392505919
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00410194285482075
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00240726496375102
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00142742019284007
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00350015345378019
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00181578652305151
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00151485772456253
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00309703723958472
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00211505922165819
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00140411640124966
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00273455612422052
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00756885420763669
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00742009132420089
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.0113333333333333
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00154765221159501
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00136738471894988
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.0028927360135286
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00261252546651338
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00241978173053252
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00387671079404461
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00440325841122426
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00406071957040266
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00810891639774174
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00123817219716915
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00122250941491017
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00148674160820637
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00327936188255245
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00287919983796274
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00394244037058943
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.00482762255527782
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00425471804466596
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00742912284829734
"bivt",0.00166666666666667,3000,"0.05",FALSE,0.00331119394088533
"bivt",0.00166666666666667,3000,"0.1",FALSE,0.00276538804638719
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.0048292671529199
"bivt",0.00166666666666667,3000,"0.05",TRUE,0.0033151989119347
"bivt",0.00166666666666667,3000,"0.1",TRUE,0.00307637505869401
"bivt",0.00166666666666667,3000,"0.01",TRUE,0.00503040859133676
