"dist","p","n","alpha","is_covered","c_estimate"
"bivt",0.005,3000,"0.05",TRUE,0.0104981469184314
"bivt",0.005,3000,"0.1",TRUE,0.00931870125808053
"bivt",0.005,3000,"0.01",TRUE,0.012
"bivt",0.005,3000,"0.05",TRUE,0.00351019888855062
"bivt",0.005,3000,"0.1",TRUE,0.00331677115579714
"bivt",0.005,3000,"0.01",TRUE,0.00426540284360192
"bivt",0.005,3000,"0.05",TRUE,0.00458369283865398
"bivt",0.005,3000,"0.1",TRUE,0.00338590589366069
"bivt",0.005,3000,"0.01",TRUE,0.00634435763378949
"bivt",0.005,3000,"0.05",TRUE,0.00444069209008576
"bivt",0.005,3000,"0.1",TRUE,0.00367289078420189
"bivt",0.005,3000,"0.01",TRUE,0.00617480804126806
"bivt",0.005,3000,"0.05",TRUE,0.00738468529879573
"bivt",0.005,3000,"0.1",TRUE,0.00646852815105212
"bivt",0.005,3000,"0.01",TRUE,0.010357962247356
"bivt",0.005,3000,"0.05",TRUE,0.00503836024275733
"bivt",0.005,3000,"0.1",TRUE,0.00407817438058701
"bivt",0.005,3000,"0.01",TRUE,0.00745713190652617
"bivt",0.005,3000,"0.05",TRUE,0.00300662483255914
"bivt",0.005,3000,"0.1",TRUE,0.00278744616836765
"bivt",0.005,3000,"0.01",TRUE,0.00544407631698627
"bivt",0.005,3000,"0.05",TRUE,0.00582131564370368
"bivt",0.005,3000,"0.1",TRUE,0.00538353272343421
"bivt",0.005,3000,"0.01",TRUE,0.00886841329387226
"bivt",0.005,3000,"0.05",FALSE,0.00317207599448655
"bivt",0.005,3000,"0.1",FALSE,0.00307934080869861
"bivt",0.005,3000,"0.01",FALSE,0.00339313348259658
"bivt",0.005,3000,"0.05",FALSE,0.00607935370153619
"bivt",0.005,3000,"0.1",FALSE,0.00509164969450102
"bivt",0.005,3000,"0.01",FALSE,0.00701971187075358
"bivt",0.005,3000,"0.05",FALSE,0.00308714786740199
"bivt",0.005,3000,"0.1",FALSE,0.00299445410691432
"bivt",0.005,3000,"0.01",FALSE,0.00338180587798972
"bivt",0.005,3000,"0.05",TRUE,0.00728192246575684
"bivt",0.005,3000,"0.1",TRUE,0.00333254779350257
"bivt",0.005,3000,"0.01",TRUE,0.00970716117238169
"bivt",0.005,3000,"0.05",TRUE,0.012
"bivt",0.005,3000,"0.1",TRUE,0.00543200408997951
"bivt",0.005,3000,"0.01",TRUE,0.014
"bivt",0.005,3000,"0.05",TRUE,0.00352481881897207
"bivt",0.005,3000,"0.1",TRUE,0.00349967806579033
"bivt",0.005,3000,"0.01",TRUE,0.00375861669269005
"bivt",0.005,3000,"0.05",TRUE,0.0031477164300961
"bivt",0.005,3000,"0.1",TRUE,0.00289786738062606
"bivt",0.005,3000,"0.01",TRUE,0.00357110972234624
"bivt",0.005,3000,"0.05",FALSE,0.0033802093040807
"bivt",0.005,3000,"0.1",FALSE,0.00333151808309575
"bivt",0.005,3000,"0.01",FALSE,0.00367672178033332
"bivt",0.005,3000,"0.05",TRUE,0.00779131735593851
"bivt",0.005,3000,"0.1",TRUE,0.00741091774385449
"bivt",0.005,3000,"0.01",TRUE,0.011
"bivt",0.005,3000,"0.05",TRUE,0.00684654460800288
"bivt",0.005,3000,"0.1",TRUE,0.00606327556922967
"bivt",0.005,3000,"0.01",TRUE,0.00802384227418612
"bivt",0.005,3000,"0.05",TRUE,0.00825340303404973
"bivt",0.005,3000,"0.1",TRUE,0.00670584676376591
"bivt",0.005,3000,"0.01",TRUE,0.0107445153005134
"bivt",0.005,3000,"0.05",TRUE,0.00916691111762986
"bivt",0.005,3000,"0.1",TRUE,0.00746698805281904
"bivt",0.005,3000,"0.01",TRUE,0.0100832739631231
"bivt",0.005,3000,"0.05",TRUE,0.00692647868479782
"bivt",0.005,3000,"0.1",TRUE,0.00605700189418966
"bivt",0.005,3000,"0.01",TRUE,0.00944762370701391
"bivt",0.005,3000,"0.05",TRUE,0.00607326135016965
"bivt",0.005,3000,"0.1",TRUE,0.00546275614256582
"bivt",0.005,3000,"0.01",TRUE,0.00933489465407
"bivt",0.005,3000,"0.05",TRUE,0.00762350943881213
"bivt",0.005,3000,"0.1",TRUE,0.00582237020839072
"bivt",0.005,3000,"0.01",TRUE,0.010616016039818
"bivt",0.005,3000,"0.05",TRUE,0.00770131898646301
"bivt",0.005,3000,"0.1",TRUE,0.00555668546254664
"bivt",0.005,3000,"0.01",TRUE,0.012
"bivt",0.005,3000,"0.05",TRUE,0.00390156062424973
"bivt",0.005,3000,"0.1",TRUE,0.0033304742960381
"bivt",0.005,3000,"0.01",TRUE,0.00667189952904234
"bivt",0.005,3000,"0.05",TRUE,0.00433205822811413
"bivt",0.005,3000,"0.1",TRUE,0.00319997120095439
"bivt",0.005,3000,"0.01",TRUE,0.00600938049638455
"bivt",0.005,3000,"0.05",TRUE,0.00670283521312395
"bivt",0.005,3000,"0.1",TRUE,0.00596482716253537
"bivt",0.005,3000,"0.01",TRUE,0.011
"bivt",0.005,3000,"0.05",TRUE,0.00539205697388337
"bivt",0.005,3000,"0.1",TRUE,0.00437221558219849
"bivt",0.005,3000,"0.01",TRUE,0.00717263369922634
"bivt",0.005,3000,"0.05",TRUE,0.00417936377414546
"bivt",0.005,3000,"0.1",FALSE,0.00341880341880342
"bivt",0.005,3000,"0.01",TRUE,0.00786470272643029
"bivt",0.005,3000,"0.05",TRUE,0.00549379524301965
"bivt",0.005,3000,"0.1",TRUE,0.00467345477686742
"bivt",0.005,3000,"0.01",TRUE,0.00817929971709337
"bivt",0.005,3000,"0.05",TRUE,0.00371014246947083
"bivt",0.005,3000,"0.1",TRUE,0.00357627447179686
"bivt",0.005,3000,"0.01",TRUE,0.00384553342013389
"bivt",0.005,3000,"0.05",FALSE,0.00353272053779668
"bivt",0.005,3000,"0.1",FALSE,0.00348643223939734
"bivt",0.005,3000,"0.01",FALSE,0.00374128743782544
"bivt",0.005,3000,"0.05",TRUE,0.00789058077798621
"bivt",0.005,3000,"0.1",TRUE,0.00438935318491464
"bivt",0.005,3000,"0.01",TRUE,0.011
"bivt",0.005,3000,"0.05",FALSE,0.00347148329431794
"bivt",0.005,3000,"0.1",FALSE,0.00339233861961135
"bivt",0.005,3000,"0.01",FALSE,0.00355493191073484
"bivt",0.005,3000,"0.05",TRUE,0.00357278061707364
"bivt",0.005,3000,"0.1",TRUE,0.00330064126744624
"bivt",0.005,3000,"0.01",TRUE,0.00385870137159291
"bivt",0.005,3000,"0.05",TRUE,0.014
"bivt",0.005,3000,"0.1",TRUE,0.013
"bivt",0.005,3000,"0.01",TRUE,0.017
