"dist","p","n","alpha","is_covered","c_estimate"
"bivt",0.005,3000,"0.05",TRUE,0.012
"bivt",0.005,3000,"0.1",TRUE,0.011
"bivt",0.005,3000,"0.01",TRUE,0.015
"bivt",0.005,3000,"0.05",TRUE,0.008
"bivt",0.005,3000,"0.1",TRUE,0.007
"bivt",0.005,3000,"0.01",TRUE,0.01
"bivt",0.005,3000,"0.05",TRUE,0.00326960765476693
"bivt",0.005,3000,"0.1",FALSE,0.00253803245436103
"bivt",0.005,3000,"0.01",TRUE,0.00700999999999999
"bivt",0.005,3000,"0.05",TRUE,0.008
"bivt",0.005,3000,"0.1",TRUE,0.007
"bivt",0.005,3000,"0.01",TRUE,0.01
"bivt",0.005,3000,"0.05",TRUE,0.008
"bivt",0.005,3000,"0.1",TRUE,0.007
"bivt",0.005,3000,"0.01",TRUE,0.01
"bivt",0.005,3000,"0.05",TRUE,0.006
"bivt",0.005,3000,"0.1",TRUE,0.00473360655737707
"bivt",0.005,3000,"0.01",TRUE,0.009
"bivt",0.005,3000,"0.05",FALSE,0.00365829145728643
"bivt",0.005,3000,"0.1",FALSE,0.00365829145728643
"bivt",0.005,3000,"0.01",TRUE,0.006
"bivt",0.005,3000,"0.05",TRUE,0.009
"bivt",0.005,3000,"0.1",TRUE,0.007
"bivt",0.005,3000,"0.01",TRUE,0.01
"bivt",0.005,3000,"0.05",TRUE,0.013
"bivt",0.005,3000,"0.1",TRUE,0.011
"bivt",0.005,3000,"0.01",TRUE,0.015
"bivt",0.005,3000,"0.05",FALSE,0.00445780449788466
"bivt",0.005,3000,"0.1",FALSE,0.00438815130260521
"bivt",0.005,3000,"0.01",FALSE,0.00451368882927144
"bivt",0.005,3000,"0.05",FALSE,0.00378355072946609
"bivt",0.005,3000,"0.1",FALSE,0.00352216748768474
"bivt",0.005,3000,"0.01",TRUE,0.006
"bivt",0.005,3000,"0.05",TRUE,0.008
"bivt",0.005,3000,"0.1",TRUE,0.007
"bivt",0.005,3000,"0.01",TRUE,0.01
"bivt",0.005,3000,"0.05",TRUE,0.015
"bivt",0.005,3000,"0.1",TRUE,0.014
"bivt",0.005,3000,"0.01",TRUE,0.018
"bivt",0.005,3000,"0.05",TRUE,0.006
"bivt",0.005,3000,"0.1",TRUE,0.006
"bivt",0.005,3000,"0.01",TRUE,0.009
"bivt",0.005,3000,"0.05",TRUE,0.01
"bivt",0.005,3000,"0.1",TRUE,0.009
"bivt",0.005,3000,"0.01",TRUE,0.012
"bivt",0.005,3000,"0.05",TRUE,0.007
"bivt",0.005,3000,"0.1",TRUE,0.006
"bivt",0.005,3000,"0.01",TRUE,0.009
"bivt",0.005,3000,"0.05",TRUE,0.017
"bivt",0.005,3000,"0.1",TRUE,0.015
"bivt",0.005,3000,"0.01",TRUE,0.02
"bivt",0.005,3000,"0.05",TRUE,0.013
"bivt",0.005,3000,"0.1",TRUE,0.012
"bivt",0.005,3000,"0.01",TRUE,0.016
"bivt",0.005,3000,"0.05",TRUE,0.006
"bivt",0.005,3000,"0.1",TRUE,0.00435205041635532
"bivt",0.005,3000,"0.01",TRUE,0.00800999999999999
"bivt",0.005,3000,"0.05",TRUE,0.013
"bivt",0.005,3000,"0.1",TRUE,0.012
"bivt",0.005,3000,"0.01",TRUE,0.016
"bivt",0.005,3000,"0.05",TRUE,0.009
"bivt",0.005,3000,"0.1",TRUE,0.008
"bivt",0.005,3000,"0.01",TRUE,0.012
"bivt",0.005,3000,"0.05",TRUE,0.0048373067010309
"bivt",0.005,3000,"0.1",TRUE,0.00385791366906472
"bivt",0.005,3000,"0.01",TRUE,0.008
"bivt",0.005,3000,"0.05",FALSE,0.00385311001826525
"bivt",0.005,3000,"0.1",FALSE,0.00342739174219538
"bivt",0.005,3000,"0.01",TRUE,0.006
"bivt",0.005,3000,"0.05",TRUE,0.009
"bivt",0.005,3000,"0.1",TRUE,0.008
"bivt",0.005,3000,"0.01",TRUE,0.012
