"dist","p","n","alpha","is_covered","c_estimate"
"bivt",0.005,2000,"0.05",TRUE,0.008
"bivt",0.005,2000,"0.1",TRUE,0.007
"bivt",0.005,2000,"0.01",TRUE,0.01
"bivt",0.005,2000,"0.05",TRUE,0.00449473390379788
"bivt",0.005,2000,"0.1",TRUE,0.00314918572328548
"bivt",0.005,2000,"0.01",TRUE,0.007
"bivt",0.005,2000,"0.05",TRUE,0.0038417535000367
"bivt",0.005,2000,"0.1",TRUE,0.00336396968766979
"bivt",0.005,2000,"0.01",TRUE,0.006
"bivt",0.005,2000,"0.05",TRUE,0.00350515318807469
"bivt",0.005,2000,"0.1",TRUE,0.00328558450249219
"bivt",0.005,2000,"0.01",TRUE,0.006
"bivt",0.005,2000,"0.05",TRUE,0.011
"bivt",0.005,2000,"0.1",TRUE,0.009
"bivt",0.005,2000,"0.01",TRUE,0.013
"bivt",0.005,2000,"0.05",TRUE,0.008
"bivt",0.005,2000,"0.1",TRUE,0.007
"bivt",0.005,2000,"0.01",TRUE,0.01
"bivt",0.005,2000,"0.05",TRUE,0.007
"bivt",0.005,2000,"0.1",TRUE,0.006
"bivt",0.005,2000,"0.01",TRUE,0.00900999999999999
"bivt",0.005,2000,"0.05",TRUE,0.00404919748593656
"bivt",0.005,2000,"0.1",TRUE,0.0032733377096311
"bivt",0.005,2000,"0.01",TRUE,0.007
"bivt",0.005,2000,"0.05",TRUE,0.00384197829982452
"bivt",0.005,2000,"0.1",FALSE,0.00340980456296137
"bivt",0.005,2000,"0.01",TRUE,0.007
"bivt",0.005,2000,"0.05",FALSE,0.00350376432363114
"bivt",0.005,2000,"0.1",FALSE,0.00347101224627496
"bivt",0.005,2000,"0.01",FALSE,0.00364787978241546
"bivt",0.005,2000,"0.05",TRUE,0.00468380588915335
"bivt",0.005,2000,"0.1",TRUE,0.00322423474254821
"bivt",0.005,2000,"0.01",TRUE,0.007
"bivt",0.005,2000,"0.05",TRUE,0.012
"bivt",0.005,2000,"0.1",TRUE,0.011
"bivt",0.005,2000,"0.01",TRUE,0.014
"bivt",0.005,2000,"0.05",TRUE,0.007
"bivt",0.005,2000,"0.1",TRUE,0.006
"bivt",0.005,2000,"0.01",TRUE,0.009
"bivt",0.005,2000,"0.05",TRUE,0.009
"bivt",0.005,2000,"0.1",TRUE,0.008
"bivt",0.005,2000,"0.01",TRUE,0.011
"bivt",0.005,2000,"0.05",TRUE,0.006
"bivt",0.005,2000,"0.1",TRUE,0.00353916546878733
"bivt",0.005,2000,"0.01",TRUE,0.008
"bivt",0.005,2000,"0.05",TRUE,0.014
"bivt",0.005,2000,"0.1",TRUE,0.013
"bivt",0.005,2000,"0.01",TRUE,0.016
"bivt",0.005,2000,"0.05",TRUE,0.009
"bivt",0.005,2000,"0.1",TRUE,0.008
