"dist","p","n","alpha","is_covered","c_estimate"
"bivt",0.005,2000,"0.05",TRUE,0.007
"bivt",0.005,2000,"0.1",TRUE,0.006
"bivt",0.005,2000,"0.01",TRUE,0.009
"bivt",0.005,2000,"0.05",TRUE,0.008
"bivt",0.005,2000,"0.1",TRUE,0.007
"bivt",0.005,2000,"0.01",TRUE,0.011
"bivt",0.005,2000,"0.05",TRUE,0.008
"bivt",0.005,2000,"0.1",TRUE,0.007
"bivt",0.005,2000,"0.01",TRUE,0.01
"bivt",0.005,2000,"0.05",TRUE,0.00342243543554659
"bivt",0.005,2000,"0.1",TRUE,0.00320260552515343
"bivt",0.005,2000,"0.01",TRUE,0.006
"bivt",0.005,2000,"0.05",FALSE,0.00386268620190671
"bivt",0.005,2000,"0.1",FALSE,0.00356520363823576
"bivt",0.005,2000,"0.01",TRUE,0.006
"bivt",0.005,2000,"0.05",TRUE,0.019
"bivt",0.005,2000,"0.1",TRUE,0.017
"bivt",0.005,2000,"0.01",TRUE,0.022
"bivt",0.005,2000,"0.05",TRUE,0.01
"bivt",0.005,2000,"0.1",TRUE,0.009
"bivt",0.005,2000,"0.01",TRUE,0.013
"bivt",0.005,2000,"0.05",TRUE,0.009
"bivt",0.005,2000,"0.1",TRUE,0.008
"bivt",0.005,2000,"0.01",TRUE,0.011
"bivt",0.005,2000,"0.05",TRUE,0.00351288027433756
"bivt",0.005,2000,"0.1",TRUE,0.00329672288291798
"bivt",0.005,2000,"0.01",TRUE,0.007
"bivt",0.005,2000,"0.05",TRUE,0.01405
"bivt",0.005,2000,"0.1",TRUE,0.013
"bivt",0.005,2000,"0.01",TRUE,0.017
"bivt",0.005,2000,"0.05",FALSE,0.00349182409005773
"bivt",0.005,2000,"0.1",FALSE,0.00338922764227642
"bivt",0.005,2000,"0.01",FALSE,0.00370907515439485
"bivt",0.005,2000,"0.05",TRUE,0.008
"bivt",0.005,2000,"0.1",TRUE,0.007
"bivt",0.005,2000,"0.01",TRUE,0.01
"bivt",0.005,2000,"0.05",TRUE,0.01
"bivt",0.005,2000,"0.1",TRUE,0.009
"bivt",0.005,2000,"0.01",TRUE,0.012
